step,Episode/rew_acceleration,Episode/rew_action_rate,Episode/rew_action_smoothness2,Episode/rew_alive,Episode/rew_ang_vel_xy,Episode/rew_base_height,Episode/rew_contact_duty_balance,Episode/rew_contact_no_vel,Episode/rew_dof_pos_error,Episode/rew_dof_vel,Episode/rew_drift,Episode/rew_feet_air_time,Episode/rew_feet_clearance,Episode/rew_feet_orientation,Episode/rew_gait_contact,Episode/rew_gait_swing,Episode/rew_heading_drift,Episode/rew_hip_pos,Episode/rew_joint_torques,Episode/rew_knee_swing_flexion,Episode/rew_leg_load_balance,Episode/rew_lin_vel_z,Episode/rew_orientation,Episode/rew_similar_to_default,Episode/rew_torque_limits,Episode/rew_tracking_ang_vel,Episode/rew_tracking_lin_vel,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_episode_length/time,Train/mean_reward,Train/mean_reward/time
0,-0.04567825794219971,-0.002671675756573677,-0.0038746013306081295,0.006229167338460684,-0.0024783581029623747,-7.86600296009965e-08,0.0,-0.00027202273486182094,-0.0014756503514945507,-0.0004478962509892881,-0.05693681165575981,-0.0008671617833897471,0.009916143491864204,-0.0002936289820354432,0.004211410880088806,-0.001321830553933978,-0.001988029107451439,-0.000240315159317106,-0.00010512759763514623,0.001066586235538125,-8.871877798810601e-05,-5.251195034361444e-06,-0.00011025749699911103,-0.00020187703194096684,-0.20649713277816772,0.00400877371430397,0.03746713697910309,15.93604850769043,0.001500000013038516,-0.0074353874661028385,20.06830596923828,5.4479146003723145,0.2412550449371338,17279.0,0.49929025769233704,14.109999656677246,,-6.015172004699707,
1,-0.14069914817810059,-0.0076894257217645645,-0.011383159086108208,0.017624996602535248,-0.007766643073409796,-3.894849385233101e-07,0.0,-0.0009356546215713024,-0.004761321935802698,-0.0015092309331521392,-0.21355852484703064,-0.0022425486240535975,0.030917545780539513,-0.0011528260074555874,0.01226687803864479,-0.0036425339058041573,-0.022350942716002464,-0.0008285276126116514,-0.0003241460653953254,0.00554636400192976,-0.0005204622866585851,-1.784706000762526e-05,-0.0003865809121634811,-0.0006545769865624607,-0.6442734003067017,0.008970500901341438,0.10663857311010361,15.936667442321777,0.005062500014901161,-0.00637444294989109,23.372983932495117,0.70210862159729,0.10427546501159668,121907.0,0.4992293417453766,36.0099983215332,,-17.921493530273438,
2,-0.2443530410528183,-0.013339284807443619,-0.019973261281847954,0.030249986797571182,-0.014854628592729568,-6.109387413744116e-07,0.0,-0.0017415350303053856,-0.00834133755415678,-0.00263618933968246,-0.3748246133327484,-0.0037763770669698715,0.0534471794962883,-0.0020220575388520956,0.020704850554466248,-0.006348653696477413,-0.07465292513370514,-0.0014656891580671072,-0.0005631934618577361,0.009772127494215965,-0.0013537004124373198,-3.038171234948095e-05,-0.00070484186289832,-0.001146367285400629,-1.1202821731567383,0.015261734835803509,0.16614508628845215,15.919508934020996,0.007593750022351742,-0.006946737412363291,23.73259925842285,0.7136330604553223,0.1037755012512207,120262.0,0.4995156526565552,59.25,,-31.35443687438965,
3,-0.3320619463920593,-0.017973696812987328,-0.02687322162091732,0.04062497615814209,-0.019529171288013458,-9.170761359200696e-07,0.0,-0.0023409670684486628,-0.011365808546543121,-0.0035732905380427837,-0.4862287938594818,-0.004984669387340546,0.07295465469360352,-0.0027380685787647963,0.02793700620532036,-0.008489726111292839,-0.1339980810880661,-0.0019790229853242636,-0.0007670075865462422,0.01283320039510727,-0.002013394609093666,-4.3093743443023413e-05,-0.000916481832973659,-0.0015456689288839698,-1.5276659727096558,0.021488007158041,0.23170392215251923,15.958590507507324,0.009999999776482582,-0.006360913161188364,24.052656173706055,0.7019991874694824,0.10384392738342285,121989.0,0.4998284578323364,87.18000030517578,,-46.73271179199219,
4,-0.4446847438812256,-0.023592423647642136,-0.03524427115917206,0.05424996465444565,-0.02684546262025833,-1.1474368193375994e-06,0.0,-0.0030966391786932945,-0.015012947842478752,-0.004817383363842964,-0.676643967628479,-0.006691577844321728,0.09736039489507675,-0.0035420842468738556,0.03743802011013031,-0.011300559155642986,-0.2262510061264038,-0.0026684454642236233,-0.0010257301619276404,0.01585276797413826,-0.002778698457404971,-5.479490209836513e-05,-0.0012333020567893982,-0.002079926198348403,-2.0365190505981445,0.028353406116366386,0.32134515047073364,15.958601951599121,0.009999999776482582,-0.0063581811264157295,23.161029815673828,0.704775333404541,0.10443449020385742,121481.0,0.5000209212303162,110.13999938964844,,-60.526588439941406,
5,-0.5450469255447388,-0.02927376702427864,-0.04379928112030029,0.06624995917081833,-0.03191683813929558,-1.3824701454723254e-06,0.0,-0.0038663730956614017,-0.018712446093559265,-0.005938356276601553,-0.7967821955680847,-0.007833574898540974,0.1192278265953064,-0.004259906709194183,0.04549693316221237,-0.013861972838640213,-0.30883902311325073,-0.00327087938785553,-0.001265553291887045,0.019868221133947372,-0.003383041825145483,-6.905234477017075e-05,-0.0015074992552399635,-0.0025582914240658283,-2.522878885269165,0.03540594130754471,0.38846489787101746,15.955323219299316,0.009999999776482582,-0.006933946628123522,22.941579818725586,0.7108838558197021,0.10446548461914062,120566.0,0.4996946156024933,134.0800018310547,14.109999656677246,-74.2082290649414,-6.015172004699707
6,-0.6151663064956665,-0.032945238053798676,-0.049440860748291016,0.07477077841758728,-0.03680866211652756,-1.736964577503386e-06,0.0,-0.004481192212551832,-0.020925696939229965,-0.006693107075989246,-0.896026611328125,-0.009105842560529709,0.13505259156227112,-0.004978553391993046,0.05183235555887222,-0.01551046408712864,-0.3890310227870941,-0.0037241531535983086,-0.001422237022779882,0.022795436903834343,-0.004678440745919943,-7.860412733862177e-05,-0.0017298483289778233,-0.002892933553084731,-2.8323001861572266,0.039299581199884415,0.4329544007778168,15.966126441955566,0.009999999776482582,-0.006448691710829735,22.063648223876953,0.7020297050476074,0.10510063171386719,121794.0,0.4999940097332001,156.36000061035156,36.0099983215332,-86.8244400024414,-17.921493530273438
7,-0.7471646070480347,-0.040132518857717514,-0.060209065675735474,0.0902499407529831,-0.045782413333654404,-2.154062485715258e-06,0.0,-0.005354325287044048,-0.02561555616557598,-0.008170956745743752,-1.0458611249923706,-0.010924065485596657,0.16367626190185547,-0.006046517752110958,0.06212843209505081,-0.01884210668504238,-0.5242836475372314,-0.004447889048606157,-0.0017288972157984972,0.027376338839530945,-0.006021206732839346,-9.532950207358226e-05,-0.002154333284124732,-0.00350585812702775,-3.447882652282715,0.046897806227207184,0.5601565837860107,15.939565658569336,0.009999999776482582,-0.006859067361801863,21.64774513244629,0.7090518474578857,0.10420489311218262,120876.0,0.4998883605003357,179.97999572753906,59.25,-99.82170104980469,-31.35443687438965
8,-0.8440732955932617,-0.04551055282354355,-0.06831421703100204,0.10224992036819458,-0.051424674689769745,-2.5107196961471345e-06,0.0,-0.006103151943534613,-0.029067546129226685,-0.009202971123158932,-1.2164009809494019,-0.01212520431727171,0.18552128970623016,-0.007009054534137249,0.07060904800891876,-0.021286379545927048,-0.5607126951217651,-0.005014815367758274,-0.0019525617826730013,0.031589753925800323,-0.006511855870485306,-0.00010715412645367905,-0.0023337712045758963,-0.003966752905398607,-3.8870348930358887,0.05315744876861572,0.5993956923484802,15.956088066101074,0.009999999776482582,-0.00548865320160985,20.243518829345703,0.7131824493408203,0.09693408012390137,121345.0,0.4997788667678833,200.4199981689453,110.13999938964844,-112.93012237548828,-60.526588439941406
9,-0.9052745699882507,-0.04839084669947624,-0.07249580323696136,0.1096874326467514,-0.053389303386211395,-2.4259527435788186e-06,0.0,-0.006500261835753918,-0.03086969628930092,-0.009814560413360596,-1.263807773590088,-0.01320723071694374,0.1983354538679123,-0.007571346126496792,0.07580004632472992,-0.022819429636001587,-0.5478690266609192,-0.005424103699624538,-0.002094488823786378,0.03410794213414192,-0.0065219043754041195,-0.00011283303319942206,-0.0024957461282610893,-0.004250176250934601,-4.172355651855469,0.059707388281822205,0.6325019598007202,15.953081130981445,0.009999999776482582,-0.005738769192248583,19.827390670776367,0.7092132568359375,0.0985720157623291,121695.0,0.49975553154945374,226.4600067138672,134.0800018310547,-126.30567169189453,-74.2082290649414
