step,Episode/rew_acceleration,Episode/rew_action_rate,Episode/rew_action_smoothness2,Episode/rew_alive,Episode/rew_ang_vel_xy,Episode/rew_base_height,Episode/rew_contact_duty_balance,Episode/rew_contact_no_vel,Episode/rew_dof_pos_error,Episode/rew_dof_vel,Episode/rew_drift,Episode/rew_feet_air_time,Episode/rew_feet_clearance,Episode/rew_feet_orientation,Episode/rew_gait_contact,Episode/rew_gait_swing,Episode/rew_heading_drift,Episode/rew_hip_pos,Episode/rew_joint_torques,Episode/rew_knee_swing_flexion,Episode/rew_leg_load_balance,Episode/rew_lin_vel_z,Episode/rew_orientation,Episode/rew_similar_to_default,Episode/rew_torque_limits,Episode/rew_tracking_ang_vel,Episode/rew_tracking_lin_vel,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_episode_length/time,Train/mean_reward,Train/mean_reward/time
0,-0.04567919299006462,-0.002671677153557539,-0.003874614369124174,0.006229167338460684,-0.002479101764038205,-7.856493766666972e-08,-6.687798304483294e-05,-0.0002749394625425339,-0.0014754844596609473,-0.0004477569309528917,-0.05683375149965286,-0.0008677635341882706,0.009918499737977982,-0.00029530643951147795,0.004218078218400478,-0.0013199786189943552,-0.0019842851907014847,-0.00024018673866521567,-0.00010516988550079986,0.0,-8.888425509212539e-05,-5.220962975727161e-06,-0.00011030805762857199,-0.00020181774743832648,-0.20657435059547424,0.004031313583254814,0.03744231536984444,15.935747146606445,0.001500000013038516,-0.007422310300171375,20.332063674926758,5.39890193939209,0.23036909103393555,17463.0,0.49931782484054565,14.109999656677246,,-6.0438456535339355,
1,-0.14073507487773895,-0.007690448313951492,-0.011384950950741768,0.017624996602535248,-0.00783583614975214,-3.9081109548533277e-07,-0.0003397898399271071,-0.0009449813514947891,-0.004761938937008381,-0.0015087821520864964,-0.21227416396141052,-0.0022461458574980497,0.030879035592079163,-0.0011615515686571598,0.012227754108607769,-0.0036534022074192762,-0.022327780723571777,-0.0008284705691039562,-0.00032420046045444906,0.0,-0.0005171142984181643,-1.8003695004153997e-05,-0.0003886815975420177,-0.000654489966109395,-0.6444348692893982,0.008936264552175999,0.10660608857870102,15.936521530151367,0.005062500014901161,-0.006461622659116983,23.546491622924805,0.6972992420196533,0.09695601463317871,123768.0,0.49907928705215454,36.0099983215332,,-18.035566329956055,
2,-0.2442852258682251,-0.013340219855308533,-0.01997506245970726,0.030249986797571182,-0.014819227159023285,-6.364831506289192e-07,-0.0008799093775451183,-0.0017188427736982703,-0.008343162015080452,-0.00263565918430686,-0.36861473321914673,-0.0038415524177253246,0.053533416241407394,-0.002002841793000698,0.020671280100941658,-0.006357979029417038,-0.07310379296541214,-0.0014614210231229663,-0.0005630410742014647,0.0,-0.00138896144926548,-3.055358320125379e-05,-0.0007104180986061692,-0.0011463039554655552,-1.1198604106903076,0.01550693716853857,0.16613511741161346,15.915278434753418,0.007593750022351742,-0.006746184080839157,23.876317977905273,0.7040069103240967,0.09619355201721191,122849.0,0.49903419613838196,59.25,,-31.503244400024414,
3,-0.332089900970459,-0.017968595027923584,-0.026866693049669266,0.04062497615814209,-0.019535629078745842,-9.227713917425717e-07,-0.0017251282697543502,-0.002352061215788126,-0.01136748306453228,-0.003573574125766754,-0.4767596125602722,-0.004954923875629902,0.07288378477096558,-0.0027411363553255796,0.0281282477080822,-0.008436602540314198,-0.12792816758155823,-0.001976148458197713,-0.0007668379694223404,0.0,-0.002070814836770296,-4.2697105527622625e-05,-0.0009219555067829788,-0.0015443837037310004,-1.5276057720184326,0.02137073129415512,0.23030126094818115,15.9181489944458,0.009999999776482582,-0.0066752047277987,24.1923770904541,0.7037520408630371,0.09615659713745117,122894.0,0.49873873591423035,87.18000030517578,,-46.89429473876953,
4,-0.4444398880004883,-0.02356850914657116,-0.03520920127630234,0.05424996465444565,-0.026647178456187248,-1.1314357379887952e-06,-0.001984539208933711,-0.003065658500418067,-0.014998018741607666,-0.004815533757209778,-0.6850615739822388,-0.00657247519120574,0.0973074734210968,-0.003511628834530711,0.03733932599425316,-0.011327974498271942,-0.23582470417022705,-0.002670129295438528,-0.0010259149130433798,0.0,-0.00287551898509264,-5.498934115166776e-05,-0.0012176779564470053,-0.0020799969788640738,-2.037440776824951,0.028379669412970543,0.3206033706665039,15.934368133544922,0.009999999776482582,-0.006395928096026182,23.500717163085938,0.703162670135498,0.09683585166931152,122880.0,0.49935266375541687,110.13999938964844,,-61.274234771728516,
5,-0.545795202255249,-0.029238766059279442,-0.04374886676669121,0.06624995917081833,-0.03218918666243553,-1.384248434987967e-06,-0.003705522743985057,-0.003953294828534126,-0.01869075745344162,-0.005941987968981266,-0.7884324789047241,-0.007836396805942059,0.11910422891378403,-0.0043051764369010925,0.04540938884019852,-0.013886290602385998,-0.31630653142929077,-0.003281145356595516,-0.0012642013607546687,0.0,-0.0034121908247470856,-6.848019256722182e-05,-0.001488948124460876,-0.002556347521021962,-2.51855731010437,0.03538382053375244,0.3895344138145447,15.930787086486816,0.009999999776482582,-0.006767048500478268,23.035051345825195,0.7063250541687012,0.09669899940490723,122417.0,0.49918949604034424,134.0800018310547,14.109999656677246,-74.52127838134766,-6.0438456535339355
6,-0.6152130365371704,-0.03290385380387306,-0.04938122630119324,0.07477077841758728,-0.037154268473386765,-1.7704958281683503e-06,-0.004018389619886875,-0.004494191147387028,-0.020903458818793297,-0.006694482173770666,-0.8942900896072388,-0.009067692793905735,0.13514457643032074,-0.004886152222752571,0.05175301432609558,-0.01553250104188919,-0.40875178575515747,-0.003713048994541168,-0.0014208275824785233,0.0,-0.004650929942727089,-7.864730287110433e-05,-0.001734187826514244,-0.002892247401177883,-2.8281402587890625,0.039532385766506195,0.43477869033813477,15.954611778259277,0.009999999776482582,-0.006437123287469149,22.24704360961914,0.6998646259307861,0.09720849990844727,123331.0,0.4993126690387726,156.36000061035156,36.0099983215332,-87.86661529541016,-18.035566329956055
7,-0.7465277910232544,-0.040071457624435425,-0.06011808663606644,0.0902499407529831,-0.04526711627840996,-2.1137698240636382e-06,-0.004419361706823111,-0.005305131897330284,-0.02556905895471573,-0.008156792260706425,-1.0167152881622314,-0.010805604979395866,0.16363784670829773,-0.005869720131158829,0.06190875172615051,-0.018903126940131187,-0.4799712896347046,-0.004447706043720245,-0.001728251576423645,0.0,-0.006105083506554365,-9.48513625189662e-05,-0.002079166006296873,-0.0035006385296583176,-3.4458041191101074,0.04769909381866455,0.5592395663261414,15.917847633361816,0.009999999776482582,-0.007119433954358101,21.714160919189453,0.7049622535705566,0.0952613353729248,122845.0,0.49942851066589355,179.97999572753906,59.25,-99.8354721069336,-31.503244400024414
8,-0.8433520197868347,-0.04545595496892929,-0.06823620200157166,0.10224992036819458,-0.05126542970538139,-2.524856881791493e-06,-0.005611038766801357,-0.006044426001608372,-0.029036976397037506,-0.009195279330015182,-1.208162784576416,-0.012156057171523571,0.18551912903785706,-0.00701344758272171,0.07061024010181427,-0.021286040544509888,-0.5442708730697632,-0.005017031915485859,-0.0019512431463226676,0.0,-0.006932472810149193,-0.00010925250535365194,-0.0023676701821386814,-0.003962805029004812,-3.8815345764160156,0.05337534844875336,0.599932849407196,15.943239212036133,0.009999999776482582,-0.005700600799173117,20.357925415039062,0.7034749984741211,0.09681415557861328,122835.0,0.4997032880783081,200.4199981689453,110.13999938964844,-112.57178497314453,-61.274234771728516
9,-0.9052575826644897,-0.04833872243762016,-0.07242444157600403,0.1096874326467514,-0.05309903621673584,-2.3877601051935926e-06,-0.0075482213869690895,-0.006376069039106369,-0.03080885112285614,-0.009787335060536861,-1.2881115674972534,-0.013251041993498802,0.1980312168598175,-0.007436399348080158,0.07572685182094574,-0.022839760407805443,-0.568506121635437,-0.005414315965026617,-0.0020939430687576532,0.0,-0.006697113625705242,-0.00011220225133001804,-0.0024844217114150524,-0.004241475835442543,-4.167180061340332,0.059078969061374664,0.633492112159729,15.945877075195312,0.009999999776482582,-0.006215221248567104,20.11406707763672,0.7030119895935059,0.0952908992767334,123141.0,0.49949803948402405,226.4600067138672,134.0800018310547,-127.35771942138672,-74.52127838134766
