step,Episode/rew_acceleration,Episode/rew_action_rate,Episode/rew_alive,Episode/rew_ang_vel_xy,Episode/rew_base_height,Episode/rew_contact_no_vel,Episode/rew_dof_vel,Episode/rew_feet_clearance,Episode/rew_gait_contact,Episode/rew_gait_swing,Episode/rew_hip_pos,Episode/rew_joint_torques,Episode/rew_lin_vel_z,Episode/rew_orientation,Episode/rew_similar_to_default,Episode/rew_tracking_ang_vel,Episode/rew_tracking_lin_vel,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_episode_length/time,Train/mean_reward,Train/mean_reward/time
0,-0.1129085123538971,-0.00646729301661253,0.006125000771135092,-0.0023779189214110374,-8.31761440167611e-07,-7.915805326774716e-05,-0.00045076452079229057,0.0016176514327526093,0.004316339734941721,-0.0012510169763118029,-0.00011625919432844967,-0.00010201265104115009,-6.245552867767401e-06,-9.045259503182024e-05,-0.0009806413436308503,0.006495242472738028,0.016410624608397484,15.960702896118164,0.001500000013038516,-0.006089407484978437,1.915861964225769,3.3740408420562744,0.2635984420776367,27024.0,0.4999155104160309,12.494253158569336,,-1.8065378665924072,
1,-0.3356500267982483,-0.018290217965841293,0.01679166406393051,-0.008012227714061737,-2.934424628620036e-06,-0.000225201336434111,-0.0014449561713263392,0.0048155090771615505,0.011390520259737968,-0.003552633337676525,-0.0003680668887682259,-0.00030911018257029355,-1.675021121627651e-05,-0.00037008896470069885,-0.003057364374399185,0.015949606895446777,0.04530477523803711,15.978333473205566,0.003375000087544322,-0.00553271034732461,1.978846549987793,0.6081798076629639,0.10381913185119629,138067.0,0.5002061128616333,34.95000076293945,,-5.748839378356934,
2,-0.5882877707481384,-0.031623996794223785,0.028770819306373596,-0.014973375014960766,-5.487748239829671e-06,-0.00038074396434240043,-0.002540026791393757,0.00839449092745781,0.019636329263448715,-0.006053798831999302,-0.0006622718647122383,-0.0005353490123525262,-2.961049904115498e-05,-0.0006418955163098872,-0.005306960083544254,0.02740289829671383,0.07698129117488861,15.987545013427734,0.007593750022351742,-0.004177759867161512,1.9079538583755493,0.6123638153076172,0.10464334487915039,137103.0,0.5002783536911011,56.279998779296875,,-9.563057899475098,
3,-0.8681198358535767,-0.046397894620895386,0.042249977588653564,-0.02229636162519455,-8.278448149212636e-06,-0.000561148626729846,-0.0037828870117664337,0.012423328123986721,0.02936938963830471,-0.008741840720176697,-0.0009721464011818171,-0.0007950080907903612,-4.418611206347123e-05,-0.000996022135950625,-0.007943946868181229,0.040152549743652344,0.1144433319568634,15.999061584472656,0.009999999776482582,-0.0054354132153093815,1.629098653793335,0.6114709377288818,0.10460042953491211,137282.0,0.500751256942749,85.41000366210938,12.494253158569336,-14.627302169799805,-1.8065378665924072
4,-1.1192402839660645,-0.059714701026678085,0.05424996837973595,-0.028772322461009026,-1.0887178177654278e-05,-0.0007216792437247932,-0.004911807365715504,0.016054250299930573,0.037295036017894745,-0.011340278200805187,-0.0012656920589506626,-0.0010264486772939563,-5.7579261920182034e-05,-0.0013161915121600032,-0.010325806215405464,0.048736266791820526,0.14451119303703308,16.02779769897461,0.009999999776482582,-0.006016432773321867,1.7224030494689941,0.6145205497741699,0.09606313705444336,138342.0,0.5009669661521912,108.3499984741211,34.95000076293945,-18.70004653930664,-5.748839378356934
5,-1.3731086254119873,-0.07306969165802002,0.06624995917081833,-0.03549350053071976,-1.3217543710197788e-05,-0.0008926789159886539,-0.006039544008672237,0.01969546638429165,0.04606092721223831,-0.013705308549106121,-0.0015768756857141852,-0.0012555153807625175,-6.997830496402457e-05,-0.0015858251135796309,-0.012633273378014565,0.05912944674491882,0.17703759670257568,16.03996467590332,0.009999999776482582,-0.006235234905034304,1.5261262655258179,0.6153132915496826,0.09894013404846191,137631.0,0.5013773441314697,131.3300018310547,85.41000366210938,-22.789499282836914,-14.627302169799805
6,-1.6279551982879639,-0.08645860850811005,0.07824994623661041,-0.04176678508520126,-1.5919364159344696e-05,-0.001011148327961564,-0.0071688625030219555,0.023304350674152374,0.05400599166750908,-0.016298342496156693,-0.0018285077530890703,-0.001489196321927011,-8.419189543928951e-05,-0.001829259330406785,-0.014982594177126884,0.07030822336673737,0.2099705934524536,16.02199935913086,0.009999999776482582,-0.006462370976805687,1.520582675933838,0.6163308620452881,0.09876656532287598,137469.0,0.5008300542831421,157.94000244140625,108.3499984741211,-27.567150115966797,-18.70004653930664
7,-1.8792550563812256,-0.0996391773223877,0.0902499407529831,-0.0473942868411541,-1.8870128769776784e-05,-0.0012004980817437172,-0.008306063711643219,0.026870064437389374,0.06255115568637848,-0.018724683672189713,-0.002149128122255206,-0.0017168227350339293,-9.855589451035485e-05,-0.002138860058039427,-0.017336374148726463,0.08169479668140411,0.2413327544927597,16.009933471679688,0.009999999776482582,-0.0063951448537409306,1.4661024808883667,0.6116533279418945,0.09886908531188965,138354.0,0.5007738471031189,180.33999633789062,157.94000244140625,-31.51755714416504,-27.567150115966797
8,-2.028836965560913,-0.10779230296611786,0.09779159724712372,-0.0529971718788147,-2.085830783471465e-05,-0.0013287363108247519,-0.008993065916001797,0.029237588867545128,0.06784039735794067,-0.020272111520171165,-0.0023101770784705877,-0.0018662575166672468,-0.00010599700908642262,-0.0023653011303395033,-0.018773898482322693,0.0880604013800621,0.26188012957572937,15.988069534301758,0.009999999776482582,-0.006889817770570517,1.3695945739746094,0.6118226051330566,0.09881758689880371,138331.0,0.5004048347473145,201.9600067138672,180.33999633789062,-35.10759735107422,-31.51755714416504
9,-2.3826794624328613,-0.12607035040855408,0.11424992978572845,-0.06184091418981552,-2.4566277716076e-05,-0.0015297550708055496,-0.010583563707768917,0.03412346541881561,0.07893794775009155,-0.023772787302732468,-0.0027384450659155846,-0.0021863775327801704,-0.00012629272532649338,-0.002795360516756773,-0.022063907235860825,0.10232560336589813,0.30532583594322205,15.964546203613281,0.009999999776482582,-0.006432312540709972,1.167122721672058,0.6113126277923584,0.10370135307312012,137485.0,0.5001227855682373,229.50999450683594,201.9600067138672,-40.24452590942383,-35.10759735107422
