step,Episode/rew_acceleration,Episode/rew_action_rate,Episode/rew_action_smoothness2,Episode/rew_alive,Episode/rew_ang_vel_xy,Episode/rew_base_height,Episode/rew_contact_no_vel,Episode/rew_dof_pos_error,Episode/rew_dof_vel,Episode/rew_drift,Episode/rew_feet_clearance,Episode/rew_feet_orientation,Episode/rew_gait_contact,Episode/rew_gait_swing,Episode/rew_hip_pos,Episode/rew_joint_torques,Episode/rew_leg_load_balance,Episode/rew_lin_vel_z,Episode/rew_orientation,Episode/rew_similar_to_default,Episode/rew_torque_limits,Episode/rew_tracking_ang_vel,Episode/rew_tracking_lin_vel,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_episode_length/time,Train/mean_reward,Train/mean_reward/time
0,-0.043934166431427,-0.0026205815374851227,-0.003757671918720007,0.006125000771135092,-0.0025214399211108685,-3.7507987826757017e-07,-7.225995068438351e-05,-0.0015318244695663452,-0.0004519677604548633,-0.30153346061706543,0.0006707661086693406,-0.0001354683772660792,0.004027571529150009,-0.001331230392679572,-0.0002200232120230794,-0.00010314157407265157,-0.00011329020344419405,-5.6953722378239036e-06,-0.00010516330075915903,-0.0001964379771379754,-0.09610933065414429,0.004519200883805752,0.03725038468837738,16.013174057006836,0.001500000013038516,-0.007369997911155224,55.61888885498047,5.303697109222412,0.2579216957092285,17675.0,0.5009168386459351,12.494253158569336,,-8.048051834106445,
1,-0.13342982530593872,-0.007508160080760717,-0.011107068508863449,0.01679166406393051,-0.007598537020385265,-1.4960728549340274e-06,-0.00020534900249913335,-0.004705408588051796,-0.0014273071428760886,-0.876322865486145,0.0020075112115591764,-0.0004644924192689359,0.011606003157794476,-0.0034927772358059883,-0.0007138478104025126,-0.0003126135852653533,-0.0006288157310336828,-1.7755182852852158e-05,-0.0003205875400453806,-0.0006055348785594106,-0.2948608994483948,0.012442979030311108,0.10465940833091736,16.085058212280273,0.003375000087544322,-0.007870379835367203,61.3726692199707,0.7147111892700195,0.10491800308227539,119937.0,0.5020464062690735,34.95000076293945,,-25.539016723632812,
2,-0.23088037967681885,-0.012624666094779968,-0.018785789608955383,0.028770819306373596,-0.014476938173174858,-2.7692544790625107e-06,-0.00035579357063397765,-0.008051524870097637,-0.0024871826171875,-1.552628517150879,0.003482988104224205,-0.000834881910122931,0.019513040781021118,-0.006088044494390488,-0.0013157257344573736,-0.0005428323056548834,-0.001303007360547781,-3.0412560590775684e-05,-0.0006162452045828104,-0.0010631384793668985,-0.5117613673210144,0.0203389972448349,0.17662066221237183,16.145708084106445,0.007593750022351742,-0.006620368454605341,57.24076843261719,0.7245218753814697,0.10440731048583984,118591.0,0.5038129687309265,56.279998779296875,,-40.81965255737305,
3,-0.3426855504512787,-0.01883304864168167,-0.028124358505010605,0.042249977588653564,-0.021726390346884727,-4.174899459030712e-06,-0.0005243138875812292,-0.012019915506243706,-0.003701157867908478,-2.2483034133911133,0.005150150507688522,-0.0012711737072095275,0.028837500140070915,-0.00888958852738142,-0.0019283911678940058,-0.0008066524751484394,-0.0025183716788887978,-4.4429703848436475e-05,-0.0009559473837725818,-0.0015745604177936912,-0.7606444358825684,0.030569111928343773,0.2619702219963074,16.164514541625977,0.009999999776482582,-0.006790147628635168,49.11524963378906,0.7298429012298584,0.10416436195373535,117869.0,0.5046822428703308,85.41000366210938,,-62.1214714050293,
4,-0.4420938491821289,-0.024217454716563225,-0.03615081310272217,0.05424996837973595,-0.02775638923048973,-5.2281243370089214e-06,-0.0006979042664170265,-0.01555265299975872,-0.004796297755092382,-3.1322619915008545,0.006620797794312239,-0.0015985345235094428,0.03704209625720978,-0.011410538107156754,-0.002451341599225998,-0.001039316295646131,-0.0028905938379466534,-5.797519406769425e-05,-0.0012309306766837835,-0.0020347186364233494,-0.979263424873352,0.03630314767360687,0.3221552073955536,16.240283966064453,0.009999999776482582,-0.006823442876338959,45.66008377075195,0.7205090522766113,0.1047523021697998,119118.0,0.5062882304191589,108.3499984741211,,-83.50362396240234,
5,-0.5398428440093994,-0.029571685940027237,-0.04421398043632507,0.06624995917081833,-0.03324499353766441,-6.167640094645321e-06,-0.0008424399420619011,-0.019071657210588455,-0.005856511183083057,-3.66723895072937,0.008132535964250565,-0.0019772013183683157,0.04574808478355408,-0.013792207464575768,-0.003107566386461258,-0.0012739566154778004,-0.0036408444866538048,-6.822314026067033e-05,-0.0014529440086334944,-0.002491116989403963,-1.1999930143356323,0.04545096680521965,0.40302062034606934,16.28483772277832,0.009999999776482582,-0.006875109393149614,43.40412902832031,0.7265348434448242,0.10451841354370117,118288.0,0.5076157450675964,131.3300018310547,12.494253158569336,-98.89131164550781,-8.048051834106445
6,-0.641243040561676,-0.035169415175914764,-0.05261237174272537,0.07824994623661041,-0.04002261906862259,-7.916940376162529e-06,-0.00099335634149611,-0.022713899612426758,-0.0069960481487214565,-4.107968807220459,0.0096230898052454,-0.0023446069099009037,0.053834378719329834,-0.01634601131081581,-0.003624867182224989,-0.0015137894079089165,-0.005581726785749197,-8.459811215288937e-05,-0.0017655044794082642,-0.0029567955061793327,-1.430646300315857,0.055145733058452606,0.48107194900512695,16.350727081298828,0.009999999776482582,-0.007066224701702595,41.67057800292969,0.7292044162750244,0.1044161319732666,117924.0,0.5086249113082886,157.94000244140625,34.95000076293945,-115.86165618896484,-25.539016723632812
7,-0.7434539794921875,-0.04059767723083496,-0.06076506897807121,0.0902499407529831,-0.046538613736629486,-8.685711691214237e-06,-0.0011393767781555653,-0.026265619322657585,-0.008122686296701431,-4.981753349304199,0.011091983877122402,-0.002686836291104555,0.06203474849462509,-0.018868129700422287,-0.004187955521047115,-0.0017550787888467312,-0.006365612149238586,-9.775211219675839e-05,-0.002101602964103222,-0.0034322249703109264,-1.6584924459457397,0.06255866587162018,0.5462425947189331,16.392671585083008,0.009999999776482582,-0.006346781272441149,39.68832015991211,0.7273364067077637,0.10498714447021484,118107.0,0.5094194412231445,180.33999633789062,56.279998779296875,-133.19085693359375,-40.81965255737305
8,-0.8053746223449707,-0.044278450310230255,-0.06628452241420746,0.09779159724712372,-0.049559056758880615,-9.669309292803518e-06,-0.001207477180287242,-0.028538241982460022,-0.008761676028370857,-4.7829389572143555,0.011992141604423523,-0.0029120042454451323,0.06763752549886703,-0.020328465849161148,-0.0045517319813370705,-0.0018988428637385368,-0.007262013386934996,-0.00010717676195781678,-0.002191255334764719,-0.0037061513867229223,-1.7932442426681519,0.07278697192668915,0.5825691819190979,16.42218017578125,0.009999999776482582,-0.006707570515573025,34.272987365722656,0.7256560325622559,0.10446619987487793,118421.0,0.5101799368858337,201.9600067138672,108.3499984741211,-142.027587890625,-83.50362396240234
9,-0.9434680342674255,-0.05207785218954086,-0.0781242698431015,0.11424992978572845,-0.06041432172060013,-1.1333977454341948e-05,-0.0014146247413009405,-0.033637791872024536,-0.010323627851903439,-5.737885475158691,0.014042194001376629,-0.003384919371455908,0.07852920889854431,-0.02388632670044899,-0.005333987530320883,-0.002222898881882429,-0.007582738064229488,-0.00012328015873208642,-0.002696789801120758,-0.00435960479080677,-2.1036038398742676,0.08311305940151215,0.7058087587356567,16.45719337463379,0.009999999776482582,-0.0063604433089494705,32.854652404785156,0.755549430847168,0.10509824752807617,114220.0,0.5108440518379211,229.50999450683594,131.3300018310547,-166.458740234375,-98.89131164550781
10,-1.0403814315795898,-0.05784076452255249,-0.08672615885734558,0.12624990940093994,-0.06530636548995972,-1.3031948583375197e-05,-0.0015696822665631771,-0.037468321621418,-0.011366828344762325,-6.343137264251709,0.015528552234172821,-0.003893695306032896,0.08754076063632965,-0.0261831134557724,-0.005951670464128256,-0.0024679286871105433,-0.009976661764085293,-0.0001359758898615837,-0.002990098437294364,-0.004823378752917051,-2.3376519680023193,0.09203388541936874,0.7816845774650574,16.515043258666992,0.009999999776482582,-0.0054643419571220875,31.55696678161621,0.7511489391326904,0.10423493385314941,114923.0,0.5122174620628357,251.52999877929688,157.94000244140625,-177.36026000976562,-115.86165618896484
11,-1.1438071727752686,-0.06362790614366531,-0.09554480761289597,0.13824990391731262,-0.07082261145114899,-1.3760973160970025e-05,-0.0017054686322808266,-0.04104889556765556,-0.012492256239056587,-6.785133361816406,0.017028342932462692,-0.004209679551422596,0.09540224075317383,-0.02879936248064041,-0.006553522311151028,-0.002704919083043933,-0.01181262731552124,-0.00014797381300013512,-0.0032053140457719564,-0.0052992491982877254,-2.5625362396240234,0.10108385980129242,0.849836528301239,16.557998657226562,0.009999999776482582,-0.005937781650573015,31.270360946655273,0.751056432723999,0.10727238655090332,114529.0,0.513201892375946,277.42999267578125,180.33999633789062,-193.9357452392578,-133.19085693359375
12,-1.2412269115447998,-0.06897846609354019,-0.10363608598709106,0.1502498835325241,-0.07544095814228058,-1.5122568584047258e-05,-0.0018552856054157019,-0.04441934823989868,-0.013552729040384293,-7.116306304931641,0.018490538001060486,-0.004488399252295494,0.10284106433391571,-0.03153301030397415,-0.006930108182132244,-0.002933886833488941,-0.013031771406531334,-0.0001600119867362082,-0.0032916150521486998,-0.005737899802625179,-2.774555206298828,0.11160573363304138,0.924717366695404,16.589859008789062,0.009999999776482582,-0.005238931626081467,29.521106719970703,0.753582239151001,0.10478043556213379,114525.0,0.5142731070518494,298.8599853515625,201.9600067138672,-205.18736267089844,-142.027587890625
