step,Episode/rew_acceleration,Episode/rew_action_rate,Episode/rew_action_smoothness2,Episode/rew_alive,Episode/rew_ang_vel_xy,Episode/rew_base_height,Episode/rew_contact_no_vel,Episode/rew_dof_pos_error,Episode/rew_dof_vel,Episode/rew_drift,Episode/rew_feet_clearance,Episode/rew_feet_orientation,Episode/rew_gait_contact,Episode/rew_gait_swing,Episode/rew_heading_drift,Episode/rew_hip_pos,Episode/rew_joint_torques,Episode/rew_leg_load_balance,Episode/rew_lin_vel_z,Episode/rew_orientation,Episode/rew_similar_to_default,Episode/rew_torque_limits,Episode/rew_tracking_ang_vel,Episode/rew_tracking_lin_vel,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_episode_length/time,Train/mean_reward,Train/mean_reward/time
0,-0.043934166431427,-0.0026205815374851227,-0.003757671918720007,0.006125000771135092,-0.0025214399211108685,-3.7507987826757017e-07,-7.225995068438351e-05,-0.0015318244695663452,-0.0004519677604548633,-0.0617532953619957,0.0006707661086693406,-0.0001354683772660792,0.004027571529150009,-0.001331230392679572,-0.0028025328647345304,-0.0002200232120230794,-0.00010314157407265157,-0.00011329020344419405,-5.6953722378239036e-06,-0.00010516330075915903,-0.0001964379771379754,-0.09610933065414429,0.004519200883805752,0.03725038468837738,15.94184398651123,0.001500000013038516,-0.006762776989489794,7.952168941497803,5.371940612792969,0.28575634956359863,17375.0,0.4995475113391876,12.494253158569336,,-3.3139867782592773,
1,-0.133468359708786,-0.0074911536648869514,-0.011081363074481487,0.01679166406393051,-0.007655579596757889,-1.5118870351216174e-06,-0.0002034203935181722,-0.004693701397627592,-0.0014271156396716833,-0.18314969539642334,0.002005977788940072,-0.0004658217076212168,0.011593217961490154,-0.003496329067274928,-0.028038233518600464,-0.0007145291892811656,-0.0003122704802080989,-0.0006258836947381496,-1.735374280542601e-05,-0.00032533123157918453,-0.0006054044933989644,-0.29435861110687256,0.012233627960085869,0.1046866923570633,15.986282348632812,0.005062500014901161,-0.006599434185773134,9.998411178588867,0.7161290645599365,0.096893310546875,120911.0,0.5006451606750488,34.95000076293945,,-11.068448066711426,
2,-0.23094439506530762,-0.012567772530019283,-0.018698029220104218,0.028770819306373596,-0.014575248584151268,-2.8600206860573962e-06,-0.0003597449976950884,-0.008022460155189037,-0.0024849302135407925,-0.3109108805656433,0.003490511327981949,-0.0008465289138257504,0.01963718608021736,-0.006053560879081488,-0.054992057383060455,-0.0013200206449255347,-0.0005410678568296134,-0.0012836152454838157,-3.0474617233267054e-05,-0.0006255725747905672,-0.001063498668372631,-0.5093804001808167,0.02040388248860836,0.1760246455669403,16.033811569213867,0.007593750022351742,-0.006747681647539139,10.462085723876953,0.7246460914611816,0.09674882888793945,119679.0,0.5017205476760864,56.279998779296875,,-18.116207122802734,
3,-0.3423919081687927,-0.0187184140086174,-0.027947943657636642,0.042249977588653564,-0.02188045345246792,-4.093210918654222e-06,-0.000526933406945318,-0.01195245049893856,-0.0036970851942896843,-0.4771955907344818,0.0051476014778018,-0.0012700904626399279,0.02893371880054474,-0.00886286050081253,-0.1401996910572052,-0.00192696088925004,-0.0008048982126638293,-0.002600983716547489,-4.382316183182411e-05,-0.0009671465959399939,-0.0015728961443528533,-0.758123517036438,0.029864147305488586,0.2632670998573303,16.070533752441406,0.009999999776482582,-0.0057223825715482235,10.056830406188965,0.7512125968933105,0.09675908088684082,115928.0,0.5022896528244019,85.41000366210938,,-29.267921447753906,
4,-0.4417598843574524,-0.024026289582252502,-0.03585488349199295,0.05424996837973595,-0.027318259701132774,-5.168805728317238e-06,-0.0006989871035329998,-0.015441931784152985,-0.004787625279277563,-0.6478432416915894,0.006621695589274168,-0.0016003353521227837,0.036849718540906906,-0.01146397553384304,-0.2668036222457886,-0.002442516852170229,-0.0010372078977525234,-0.0028056453447788954,-5.7409688452025875e-05,-0.0012423343723639846,-0.0020326520316302776,-0.9761075973510742,0.036000825464725494,0.32182586193084717,16.099515914916992,0.009999999776482582,-0.00630976865068078,10.224058151245117,0.7515063285827637,0.09834456443786621,115672.0,0.5033427476882935,108.3499984741211,,-39.5173454284668,
5,-0.5385318994522095,-0.029299739748239517,-0.04379147291183472,0.06624995917081833,-0.033369917422533035,-6.222974661795888e-06,-0.0008622825844213367,-0.018889030441641808,-0.00583404116332531,-0.7740753889083862,0.008127601817250252,-0.0019715463276952505,0.04591500014066696,-0.01374584436416626,-0.32828962802886963,-0.003087736200541258,-0.001270025735720992,-0.0035820147022604942,-6.928628863533959e-05,-0.0014827046543359756,-0.002488506492227316,-1.194419264793396,0.04466310143470764,0.40390390157699585,16.118690490722656,0.009999999776482582,-0.00643216772004962,9.704815864562988,0.7530045509338379,0.09839797019958496,115461.0,0.5034309029579163,131.3300018310547,12.494253158569336,-48.520668029785156,-3.3139867782592773
6,-0.6404384970664978,-0.03480193763971329,-0.05205206573009491,0.07824994623661041,-0.04014654457569122,-8.062472261372022e-06,-0.0009912014938890934,-0.02250196598470211,-0.006991650443524122,-0.8572412729263306,0.009632902219891548,-0.0023600130807608366,0.0537252351641655,-0.016376331448554993,-0.3803747594356537,-0.003621100215241313,-0.0015083975158631802,-0.005654448177665472,-8.58277635416016e-05,-0.0018028568010777235,-0.0029577184468507767,-1.422825813293457,0.054775457829236984,0.4804260730743408,16.14244842529297,0.009999999776482582,-0.006021291017532349,9.546792030334473,0.7529828548431396,0.09839916229248047,115464.0,0.5038090348243713,157.94000244140625,34.95000076293945,-57.00566101074219,-11.068448066711426
7,-0.7420322895050049,-0.04009634628891945,-0.06000765413045883,0.0902499407529831,-0.046657443046569824,-8.698812052898575e-06,-0.0011259391903877258,-0.025961600244045258,-0.00810057483613491,-1.0410330295562744,0.011094041168689728,-0.00267496844753623,0.06227714940905571,-0.018800795078277588,-0.5989600419998169,-0.004186117555946112,-0.0017452999018132687,-0.006416931748390198,-9.596659219823778e-05,-0.0020641766022890806,-0.0034258596133440733,-1.6457599401474,0.06269130855798721,0.5484346151351929,16.146961212158203,0.009999999776482582,-0.00681220693513751,9.529182434082031,0.7529919147491455,0.09845185279846191,115455.0,0.5041117072105408,180.33999633789062,56.279998779296875,-67.3507308959961,-18.116207122802734
8,-0.8028746843338013,-0.04364091157913208,-0.06530791521072388,0.09779159724712372,-0.04965754970908165,-9.4727729447186e-06,-0.0012094540288671851,-0.028142422437667847,-0.008727220818400383,-1.0458736419677734,0.01199889462441206,-0.002865520305931568,0.06705664843320847,-0.02048981934785843,-0.487161248922348,-0.004532298538833857,-0.0018907231278717518,-0.006883925758302212,-0.00010536613262956962,-0.0022103136871010065,-0.003700148081406951,-1.7818069458007812,0.07001690566539764,0.580089807510376,16.15886878967285,0.009999999776482582,-0.005907362326979637,9.05274772644043,0.7444863319396973,0.09819412231445312,116656.0,0.5040984749794006,201.9600067138672,108.3499984741211,-73.62845611572266,-39.5173454284668
9,-0.9394275546073914,-0.05117843672633171,-0.07674554735422134,0.11424992978572845,-0.0594048872590065,-1.130669807025697e-05,-0.0014333048602566123,-0.03309720382094383,-0.010270370170474052,-1.2501347064971924,0.014045223593711853,-0.003373265964910388,0.0788649171590805,-0.023793071508407593,-0.6285176873207092,-0.005354607477784157,-0.0022112145088613033,-0.007881036028265953,-0.00012111994146835059,-0.002741815522313118,-0.004352225922048092,-2.087245464324951,0.08060634136199951,0.7076451778411865,16.16170883178711,0.009999999776482582,-0.0066488818265497684,8.432293891906738,0.7288651466369629,0.09833693504333496,118839.0,0.5045525431632996,229.50999450683594,131.3300018310547,-84.92237854003906,-48.520668029785156
