step,Episode/rew_acceleration,Episode/rew_action_rate,Episode/rew_action_smoothness2,Episode/rew_alive,Episode/rew_ang_vel_xy,Episode/rew_base_height,Episode/rew_contact_no_vel,Episode/rew_dof_pos_error,Episode/rew_dof_vel,Episode/rew_drift,Episode/rew_feet_air_time,Episode/rew_feet_clearance,Episode/rew_feet_orientation,Episode/rew_gait_contact,Episode/rew_gait_swing,Episode/rew_heading_drift,Episode/rew_hip_pos,Episode/rew_joint_torques,Episode/rew_leg_load_balance,Episode/rew_lin_vel_z,Episode/rew_orientation,Episode/rew_similar_to_default,Episode/rew_torque_limits,Episode/rew_tracking_ang_vel,Episode/rew_tracking_lin_vel,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_episode_length/time,Train/mean_reward,Train/mean_reward/time
0,-0.043934166431427,-0.0026205815374851227,-0.003757671918720007,0.006125000771135092,-0.0025214399211108685,-1.1252395637484369e-07,-0.0003612997243180871,-0.0015318244695663452,-0.0004519677604548633,-0.0617532953619957,-0.0008985119638964534,0.009964097291231155,-0.0001354683772660792,0.004027571529150009,-0.001331230392679572,-0.0028025328647345304,-0.0002200232120230794,-0.00010314157407265157,-0.00011329020344419405,-5.6953722378239036e-06,-0.00010516330075915903,-0.0001964379771379754,-0.09610933065414429,0.004519200883805752,0.03725038468837738,15.938957214355469,0.001500000013038516,-0.006915240548551083,7.237456798553467,5.406004905700684,0.23983550071716309,17411.0,0.4995121955871582,12.494253158569336,,-3.151188611984253,
1,-0.13338783383369446,-0.007490292191505432,-0.011080162599682808,0.01679166406393051,-0.007636694237589836,-4.5030978412796685e-07,-0.0010163930710405111,-0.004692758899182081,-0.0014264885103330016,-0.18202905356884003,-0.002236773958429694,0.02950660139322281,-0.0004664846637751907,0.011604895815253258,-0.0034930850379168987,-0.02787959575653076,-0.0007140453672036529,-0.00031215944909490645,-0.0006253558676689863,-1.7519523680675775e-05,-0.0003235025506000966,-0.0006054941914044321,-0.29418838024139404,0.012308811768889427,0.10470849275588989,15.977717399597168,0.005062500014901161,-0.006762820295989513,9.170333862304688,0.7254624366760254,0.1048281192779541,118397.0,0.5005108714103699,34.95000076293945,,-10.5211820602417,
2,-0.23062998056411743,-0.012565730139613152,-0.018695659935474396,0.028770819306373596,-0.014507008716464043,-8.498224133290933e-07,-0.0017860200023278594,-0.008018622174859047,-0.002484008204191923,-0.3092203736305237,-0.003602704731747508,0.05166636407375336,-0.0008424335974268615,0.019665487110614777,-0.006045698653906584,-0.05352943763136864,-0.0013200368266552687,-0.0005412514437921345,-0.001253628870472312,-3.1139155908022076e-05,-0.0006203209049999714,-0.001063035218976438,-0.5094826817512512,0.020332451909780502,0.17624947428703308,16.02437400817871,0.007593750022351742,-0.006812726147472858,9.56438159942627,0.7304890155792236,0.10495233535766602,117667.0,0.5012008547782898,56.279998779296875,,-17.173160552978516,
3,-0.34247130155563354,-0.018712002784013748,-0.027940526604652405,0.042249977588653564,-0.021973099559545517,-1.2172693004686153e-06,-0.00257578631862998,-0.011935116723179817,-0.0036977948620915413,-0.46677350997924805,-0.005413876846432686,0.07616430521011353,-0.0012643644586205482,0.02886912226676941,-0.008880804292857647,-0.1373765766620636,-0.001926804194226861,-0.0008044910500757396,-0.0026013096794486046,-4.406963853398338e-05,-0.000955409777816385,-0.001572541892528534,-0.7579625844955444,0.030007069930434227,0.26233670115470886,16.042116165161133,0.009999999776482582,-0.006423585116863251,9.35692024230957,0.7380678653717041,0.10440373420715332,116685.0,0.5016094446182251,85.41000366210938,,-27.886795043945312,
4,-0.44152936339378357,-0.024004943668842316,-0.03582747280597687,0.05424996837973595,-0.027372634038329124,-1.5641217032680288e-06,-0.003516371129080653,-0.015410872176289558,-0.004781522788107395,-0.6469689607620239,-0.006720160599797964,0.09805592894554138,-0.0015856253448873758,0.03693382441997528,-0.011440614238381386,-0.2630942463874817,-0.002442288678139448,-0.0010369617957621813,-0.0027509178034961224,-5.740466804127209e-05,-0.001233425922691822,-0.0020309726241976023,-0.9757930636405945,0.03634408861398697,0.3221082389354706,16.065494537353516,0.009999999776482582,-0.00658992026001215,9.333996772766113,0.7378203868865967,0.10471343994140625,116676.0,0.5024619698524475,108.3499984741211,,-37.933082580566406,
5,-0.5392575860023499,-0.02925298735499382,-0.043725088238716125,0.06624995917081833,-0.03311266377568245,-1.8256293969898252e-06,-0.004158934578299522,-0.01883380487561226,-0.0058311279863119125,-0.7778826951980591,-0.008171099238097668,0.12009665369987488,-0.0019740313291549683,0.045792996883392334,-0.013779732398688793,-0.34558969736099243,-0.003084349213168025,-0.0012683956883847713,-0.00387307140044868,-6.833193765487522e-05,-0.0014510322362184525,-0.0024873458314687014,-1.1933436393737793,0.04519597440958023,0.4039621949195862,16.089244842529297,0.009999999776482582,-0.006381915882229805,9.050039291381836,0.7423357963562012,0.10433840751647949,116106.0,0.502983033657074,131.3300018310547,12.494253158569336,-46.62709426879883,-3.151188611984253
6,-0.6400785446166992,-0.034736379981040955,-0.051956113427877426,0.07824994623661041,-0.039902593940496445,-2.4169460175471613e-06,-0.004953697323799133,-0.022446302697062492,-0.006978565361350775,-0.8503682017326355,-0.009564640000462532,0.14242053031921387,-0.002349779475480318,0.053621888160705566,-0.01640503667294979,-0.37608426809310913,-0.003605478210374713,-0.0015068163629621267,-0.005696489475667477,-8.591816003900021e-05,-0.0017735217697918415,-0.0029550567269325256,-1.4213098287582397,0.05459069460630417,0.48042649030685425,16.110496520996094,0.009999999776482582,-0.006675280164927244,8.919341087341309,0.7392110824584961,0.10425710678100586,116547.0,0.5031376481056213,157.94000244140625,34.95000076293945,-54.30857849121094,-10.5211820602417
7,-0.7416003942489624,-0.04000942036509514,-0.05988126993179321,0.0902499407529831,-0.04658782482147217,-2.5669075967016397e-06,-0.005600722040981054,-0.02587304264307022,-0.008085439912974834,-1.0587882995605469,-0.011017275974154472,0.16389775276184082,-0.002678351942449808,0.062047094106674194,-0.018864696845412254,-0.624589204788208,-0.004179650917649269,-0.0017439494840800762,-0.006482997443526983,-9.677383786765859e-05,-0.002075446303933859,-0.003423484042286873,-1.6425323486328125,0.06161625310778618,0.5467271208763123,16.12177085876465,0.009999999776482582,-0.006212017498910427,8.710046768188477,0.7390928268432617,0.10437560081481934,116547.0,0.5034221410751343,180.33999633789062,56.279998779296875,-64.80049133300781,-17.173160552978516
8,-0.8020350337028503,-0.043543633073568344,-0.06516626477241516,0.09779159724712372,-0.049396466463804245,-2.830005541909486e-06,-0.005996229127049446,-0.028056686744093895,-0.008719846606254578,-1.0160870552062988,-0.01194673590362072,0.17819228768348694,-0.002882569096982479,0.06728208065032959,-0.020427199080586433,-0.46811407804489136,-0.004550284706056118,-0.0018887229962274432,-0.007166306488215923,-0.00010523549281060696,-0.0022076291497796774,-0.0037017222493886948,-1.780052661895752,0.07226192951202393,0.5832183957099915,16.135026931762695,0.009999999776482582,-0.0061781336553394794,8.490506172180176,0.7351877689361572,0.10434198379516602,117094.0,0.5039534568786621,201.9600067138672,108.3499984741211,-69.34952545166016,-37.933082580566406
9,-0.9399150609970093,-0.05106527358293533,-0.0765799731016159,0.11424992978572845,-0.05962951108813286,-3.3971723496506456e-06,-0.007041373755782843,-0.03302748501300812,-0.010273724794387817,-1.2344400882720947,-0.013642526231706142,0.2087932527065277,-0.0033756145276129246,0.07864123582839966,-0.02385520748794079,-0.6107057332992554,-0.0053579374216496944,-0.0022083199582993984,-0.0076661924831569195,-0.0001220654376083985,-0.002694787923246622,-0.004351343493908644,-2.0818021297454834,0.08092325180768967,0.7046496868133545,16.153215408325195,0.009999999776482582,-0.006294287275522947,7.979598522186279,0.7652781009674072,0.10442280769348145,113031.0,0.5045117735862732,229.50999450683594,131.3300018310547,-80.38459014892578,-46.62709426879883
