step,Episode/rew_acceleration,Episode/rew_action_rate,Episode/rew_action_smoothness2,Episode/rew_alive,Episode/rew_ang_vel_xy,Episode/rew_base_height,Episode/rew_contact_no_vel,Episode/rew_dof_pos_error,Episode/rew_dof_vel,Episode/rew_drift,Episode/rew_feet_air_time,Episode/rew_feet_clearance,Episode/rew_feet_orientation,Episode/rew_gait_contact,Episode/rew_gait_swing,Episode/rew_heading_drift,Episode/rew_hip_pos,Episode/rew_joint_torques,Episode/rew_knee_flexion,Episode/rew_leg_load_balance,Episode/rew_lin_vel_z,Episode/rew_orientation,Episode/rew_similar_to_default,Episode/rew_torque_limits,Episode/rew_tracking_ang_vel,Episode/rew_tracking_lin_vel,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_episode_length/time,Train/mean_reward,Train/mean_reward/time
0,-0.043934088200330734,-0.0026205822359770536,-0.0037576723843812943,0.006125000771135092,-0.0025208466686308384,-1.1264641841535195e-07,-0.0003609678824432194,-0.0015318350633606315,-0.00045195966958999634,-0.06176454946398735,-0.0008985119638964534,0.009964292868971825,-4.718288982985541e-05,0.004025071859359741,-0.0013319248100742698,-0.0028047598898410797,-0.00022002744663041085,-0.00010314275277778506,0.0011497166706249118,-0.00011331138375680894,-5.699255325453123e-06,-0.00010515126632526517,-0.0001964376715477556,-0.09610903263092041,0.004517395980656147,0.03724947199225426,15.93932819366455,0.001500000013038516,-0.006970089394599199,7.118407726287842,5.343791961669922,0.27460694313049316,17496.0,0.49952560663223267,12.494253158569336,,-3.127088785171509,
1,-0.1334305703639984,-0.007490355521440506,-0.0110803646966815,0.01679166406393051,-0.007637053728103638,-4.4427051193451916e-07,-0.0010068477131426334,-0.004693503957241774,-0.0014271566178649664,-0.1830773651599884,-0.002228706143796444,0.029503991827368736,-0.00015732675092294812,0.01153466384857893,-0.003512593684718013,-0.028480034321546555,-0.0007149237208068371,-0.0003122329362668097,0.003738001687452197,-0.0006360532133840024,-1.7385305909556337e-05,-0.0003221761144232005,-0.0006053325487300754,-0.29436129331588745,0.012270240113139153,0.10472041368484497,15.977612495422363,0.005062500014901161,-0.006684047635644674,9.042768478393555,0.6905474662780762,0.10925889015197754,122909.0,0.5004141926765442,34.95000076293945,,-10.439538955688477,
2,-0.2308199107646942,-0.012564676813781261,-0.01869380474090576,0.028770819306373596,-0.014651438221335411,-8.50301944410603e-07,-0.0017807608237490058,-0.00801671203225851,-0.0024864193983376026,-0.3184712827205658,-0.0035879164934158325,0.05170799046754837,-0.00027300845249556005,0.019646257162094116,-0.006051040720194578,-0.05814480036497116,-0.0013186646392568946,-0.0005412264144979417,0.006380514707416296,-0.00125512492377311,-3.015467882505618e-05,-0.0006312967743724585,-0.0010637945961207151,-0.5091382265090942,0.020141921937465668,0.17645546793937683,16.023319244384766,0.007593750022351742,-0.006767279002815485,9.525497436523438,0.6978499889373779,0.10451483726501465,122517.0,0.5011869668960571,56.279998779296875,,-17.201068878173828,
3,-0.342566579580307,-0.018709316849708557,-0.027935907244682312,0.042249977588653564,-0.02186805009841919,-1.2496423096308718e-06,-0.002597265178337693,-0.011934643611311913,-0.003697057254612446,-0.4697416424751282,-0.005349620245397091,0.07609391212463379,-0.00042231736006215215,0.028909996151924133,-0.00886945053935051,-0.1416797935962677,-0.0019284188747406006,-0.0008040849934332073,0.009575634263455868,-0.0025339580606669188,-4.444248043000698e-05,-0.0009648531558923423,-0.0015726210549473763,-0.7572662830352783,0.03021821938455105,0.2625168561935425,16.036081314086914,0.009999999776482582,-0.006388865411281586,9.109772682189941,0.7005147933959961,0.1044316291809082,122124.0,0.5013028979301453,85.41000366210938,,-27.72648048400879,
4,-0.44170188903808594,-0.024003203958272934,-0.03582501783967018,0.05424996837973595,-0.027555188164114952,-1.561402655170241e-06,-0.003489820286631584,-0.015413026325404644,-0.004788964055478573,-0.6414628028869629,-0.006755593232810497,0.09801652282476425,-0.0005259262397885323,0.036814700812101364,-0.0114737031981349,-0.2588669955730438,-0.0024431252386420965,-0.001036659232340753,0.012426100671291351,-0.0027858405373990536,-5.80019477638416e-05,-0.0012262111995369196,-0.0020327118691056967,-0.9759625196456909,0.03639870136976242,0.32134902477264404,16.05146598815918,0.009999999776482582,-0.006318943575024605,9.228738784790039,0.6976122856140137,0.10420036315917969,122602.0,0.5018917322158813,108.3499984741211,,-37.589420318603516,
5,-0.5381604433059692,-0.02925081178545952,-0.04372502118349075,0.06624995917081833,-0.03290971368551254,-1.8662561842575087e-06,-0.004190565086901188,-0.01884889230132103,-0.005830209236592054,-0.7711992263793945,-0.008055593818426132,0.12002168595790863,-0.0006630906718783081,0.04555535316467285,-0.013845744542777538,-0.320123553276062,-0.0030922077130526304,-0.0012687110574916005,0.015051253139972687,-0.003453602083027363,-6.847317126812413e-05,-0.0014817388728260994,-0.0024865614250302315,-1.1935031414031982,0.044709958136081696,0.40437349677085876,16.062726974487305,0.009999999776482582,-0.006420469377189875,8.665043830871582,0.7002284526824951,0.10345697402954102,122316.0,0.5020759105682373,131.3300018310547,12.494253158569336,-45.638916015625,-3.127088785171509
6,-0.6400898694992065,-0.034719906747341156,-0.05194028839468956,0.07824994623661041,-0.039959996938705444,-2.398509423073847e-06,-0.004948967136442661,-0.022420918568968773,-0.006975223775953054,-0.8519330024719238,-0.009529577568173409,0.14249783754348755,-0.0007900980999693274,0.053807444870471954,-0.016353493556380272,-0.3855833411216736,-0.003616802394390106,-0.0015064472099766135,0.01796519011259079,-0.005629254039376974,-8.463411359116435e-05,-0.0018006575992330909,-0.0029534529894590378,-1.4198168516159058,0.054993242025375366,0.48053622245788574,16.0599308013916,0.009999999776482582,-0.006616439204663038,8.663991928100586,0.7050952911376953,0.10460853576660156,121407.0,0.5023674964904785,157.94000244140625,34.95000076293945,-54.303672790527344,-10.439538955688477
7,-0.7409501075744629,-0.03997434675693512,-0.059835564345121384,0.0902499407529831,-0.04695418104529381,-2.6499826617509825e-06,-0.005596324801445007,-0.025880929082632065,-0.008090952411293983,-1.02811861038208,-0.010928645730018616,0.16387838125228882,-0.0008841882226988673,0.062225066125392914,-0.018815262243151665,-0.5842820405960083,-0.004191337153315544,-0.0017435809131711721,0.020604170858860016,-0.006569020450115204,-9.800041880225763e-05,-0.0021485486067831516,-0.00342441420070827,-1.643202543258667,0.06198098510503769,0.5451724529266357,16.07694435119629,0.009999999776482582,-0.006889841519296169,8.566634178161621,0.7082281112670898,0.1044001579284668,120970.0,0.5025321841239929,180.33999633789062,56.279998779296875,-63.89918899536133,-17.201068878173828
8,-0.8027647733688354,-0.04348539561033249,-0.06508934497833252,0.09779159724712372,-0.04931241273880005,-2.8640210985031445e-06,-0.005931764841079712,-0.027993543073534966,-0.008716648444533348,-1.0262236595153809,-0.011813659220933914,0.17835506796836853,-0.000976926414296031,0.06728170812129974,-0.02042730152606964,-0.4937475919723511,-0.004548694007098675,-0.0018864397425204515,0.022982124239206314,-0.006906687282025814,-0.00010656649101292714,-0.0022452191915363073,-0.003697467502206564,-1.776536464691162,0.07053136080503464,0.58311927318573,16.087182998657227,0.009999999776482582,-0.005627677775919437,8.288712501525879,0.697023868560791,0.10460114479064941,122630.0,0.5026752948760986,201.9600067138672,108.3499984741211,-69.16175079345703,-37.589420318603516
9,-0.9387530088424683,-0.05100099369883537,-0.07649776339530945,0.11424992978572845,-0.05929749831557274,-3.367892531969119e-06,-0.007032901048660278,-0.03298025578260422,-0.010259363800287247,-1.2247145175933838,-0.013836654834449291,0.2088857889175415,-0.0011196066625416279,0.07882474362850189,-0.023804232478141785,-0.5977565050125122,-0.0053562140092253685,-0.002206390257924795,0.0264496561139822,-0.007656481117010117,-0.00012207134568598121,-0.0027263457886874676,-0.004349829629063606,-2.081328868865967,0.08138290792703629,0.705981433391571,16.109209060668945,0.009999999776482582,-0.006206754595041275,7.755337715148926,0.7034170627593994,0.1059870719909668,121452.0,0.5032730102539062,229.50999450683594,131.3300018310547,-80.17537689208984,-45.638916015625
