step,Episode/rew_acceleration,Episode/rew_action_rate,Episode/rew_action_smoothness2,Episode/rew_alive,Episode/rew_ang_vel_xy,Episode/rew_base_height,Episode/rew_contact_no_vel,Episode/rew_dof_pos_error,Episode/rew_dof_vel,Episode/rew_drift,Episode/rew_feet_air_time,Episode/rew_feet_clearance,Episode/rew_feet_orientation,Episode/rew_gait_contact,Episode/rew_gait_swing,Episode/rew_heading_drift,Episode/rew_hip_pos,Episode/rew_joint_torques,Episode/rew_knee_swing_flexion,Episode/rew_leg_load_balance,Episode/rew_lin_vel_z,Episode/rew_orientation,Episode/rew_similar_to_default,Episode/rew_torque_limits,Episode/rew_tracking_ang_vel,Episode/rew_tracking_lin_vel,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_episode_length/time,Train/mean_reward,Train/mean_reward/time
0,-0.04279395192861557,-0.002539140172302723,-0.0036409473977983,0.0058750007301568985,-0.0022615045309066772,-9.529291844501131e-08,-0.0003359709808137268,-0.0014298800379037857,-0.0004292170924600214,-0.061644088476896286,-0.0008895445498637855,0.00946296751499176,-0.00026998366229236126,0.003956229891628027,-0.0012510474771261215,-0.0026358067989349365,-0.000205805801670067,-9.816348028834909e-05,0.0008804155513644218,-0.00015402573626488447,-5.302837962517515e-06,-9.261329978471622e-05,-0.00018879538401961327,-0.1932716965675354,0.00340772932395339,0.0387890487909317,15.953573226928711,0.001500000013038516,-0.006655354052782059,20.010160446166992,5.383928298950195,0.23916101455688477,17482.0,0.49954596161842346,14.710000038146973,,-6.495934009552002,
1,-0.1453816294670105,-0.007972193881869316,-0.011758408509194851,0.0182499960064888,-0.008390371687710285,-4.137095288569981e-07,-0.0010768499923869967,-0.004922044463455677,-0.0015529439551755786,-0.21513044834136963,-0.002428486943244934,0.03185116872191429,-0.0011378276394680142,0.012458628974854946,-0.0038392702117562294,-0.026263564825057983,-0.000822636648081243,-0.00033507737680338323,0.003908338025212288,-0.0010266751050949097,-1.7706677681417204e-05,-0.00036474416265264153,-0.0006735346978530288,-0.6658012866973877,0.0097601767629385,0.11167961359024048,15.923969268798828,0.005062500014901161,-0.006423654966056347,22.960960388183594,0.7338855266571045,0.10529589653015137,117142.0,0.49846696853637695,35.29999923706055,,-17.45604133605957,
2,-0.24667882919311523,-0.013250201940536499,-0.019686851650476456,0.030249986797571182,-0.014772770926356316,-7.814354603397078e-07,-0.0018677078187465668,-0.008357524871826172,-0.0026481389068067074,-0.368360698223114,-0.003865161444991827,0.05404900759458542,-0.0019341408042237163,0.020754992961883545,-0.006334724836051464,-0.08566053956747055,-0.0013272457290440798,-0.0005657339934259653,0.007103981450200081,-0.0027088248170912266,-3.169602859998122e-05,-0.0006592805730178952,-0.0011250032112002373,-1.123896837234497,0.016147596761584282,0.17183731496334076,15.8844633102417,0.007593750022351742,-0.006023732014000416,23.766090393066406,0.7415473461151123,0.10399556159973145,116261.0,0.49802497029304504,59.869998931884766,,-31.589218139648438,
3,-0.3316333591938019,-0.01769024133682251,-0.026366790756583214,0.04033331200480461,-0.01949373446404934,-1.0620095736157964e-06,-0.0024400046095252037,-0.011202160269021988,-0.003572444198653102,-0.4837358593940735,-0.00489066680893302,0.07280564308166504,-0.0026489971205592155,0.027780508622527122,-0.00841652974486351,-0.11617171764373779,-0.0018250306602567434,-0.0007581808604300022,0.010408293455839157,-0.0029633219819515944,-4.071601870236918e-05,-0.0009367250604555011,-0.0015328058507293463,-1.509432315826416,0.02157476544380188,0.2398184984922409,15.881494522094727,0.009999999776482582,-0.005672677420079708,23.73967170715332,0.7425799369812012,0.10440373420715332,116063.0,0.49844327569007874,81.30999755859375,,-43.70750427246094,
4,-0.42783665657043457,-0.022700179368257523,-0.033850982785224915,0.05181246995925903,-0.02712322399020195,-1.4307204310171073e-06,-0.0031825932674109936,-0.01449120044708252,-0.004662724211812019,-0.621403157711029,-0.006330957170575857,0.09350576996803284,-0.0034141200594604015,0.03550511598587036,-0.010862477123737335,-0.21250244975090027,-0.002428344450891018,-0.0009773167548701167,0.013325460255146027,-0.0057510435581207275,-5.503130887518637e-05,-0.0012801489792764187,-0.0019753528758883476,-1.940182089805603,0.027455508708953857,0.3128996789455414,15.894763946533203,0.009999999776482582,-0.006564399693161249,23.01511573791504,0.744286060333252,0.10604619979858398,115606.0,0.49828559160232544,107.68000030517578,,-58.4871826171875,
5,-0.547871470451355,-0.028970327228307724,-0.043265052139759064,0.06624995917081833,-0.03371861204504967,-1.7698889678285923e-06,-0.004155341535806656,-0.018539387732744217,-0.005951764993369579,-0.7829751372337341,-0.008061014115810394,0.12022700160741806,-0.004300129599869251,0.045284952968358994,-0.013920856639742851,-0.28588998317718506,-0.0030440071132034063,-0.001254891394637525,0.01850234344601631,-0.006290558725595474,-6.86450075590983e-05,-0.001540863886475563,-0.00251673418097198,-2.495760202407837,0.03419352322816849,0.38616257905960083,15.886963844299316,0.009999999776482582,-0.006755857262760401,22.68246078491211,0.7430040836334229,0.10453391075134277,115987.0,0.498201847076416,133.22999572753906,14.710000038146973,-72.52465057373047,-6.495934009552002
6,-0.6490506529808044,-0.03430918976664543,-0.05123396962881088,0.07824994623661041,-0.03982804715633392,-2.1517580535146408e-06,-0.004822594113647938,-0.022067006677389145,-0.007118295878171921,-0.9492990970611572,-0.00913834385573864,0.14265930652618408,-0.00518634170293808,0.053658317774534225,-0.01639491692185402,-0.3543449640274048,-0.0036478391848504543,-0.0014905973803251982,0.020958587527275085,-0.008699021302163601,-8.217716822400689e-05,-0.0018736561760306358,-0.003013352630659938,-2.9679884910583496,0.04040727764368057,0.44816669821739197,15.912930488586426,0.009999999776482582,-0.006251531187444925,22.541259765625,0.7405545711517334,0.10443592071533203,116337.0,0.49819865822792053,154.1999969482422,35.29999923706055,-85.67147827148438,-17.45604133605957
7,-0.7467875480651855,-0.03954965993762016,-0.05914653465151787,0.0902499407529831,-0.04579169303178787,-2.4147382191586075e-06,-0.005556715652346611,-0.025349210947752,-0.008161714300513268,-1.0782638788223267,-0.010983027517795563,0.16465893387794495,-0.006186883896589279,0.06219083070755005,-0.01882477104663849,-0.40404006838798523,-0.004204678349196911,-0.0017183271702378988,0.02453417144715786,-0.010047566145658493,-9.258891077479348e-05,-0.002114814706146717,-0.0034735840745270252,-3.4173402786254883,0.04625273868441582,0.536374032497406,15.905156135559082,0.009999999776482582,-0.0070267184637486935,21.70098114013672,0.7512760162353516,0.10451507568359375,114869.0,0.498622328042984,181.22999572753906,59.869998931884766,-100.5274658203125,-31.589218139648438
8,-0.8469282984733582,-0.04479300603270531,-0.06703038513660431,0.10224992036819458,-0.05133784934878349,-3.0776354833506048e-06,-0.006340242922306061,-0.02869313582777977,-0.00923723541200161,-1.1863596439361572,-0.012248829007148743,0.18672999739646912,-0.007166511379182339,0.07080473750829697,-0.021232014521956444,-0.5401574969291687,-0.0047026826068758965,-0.0019454152788966894,0.027026116847991943,-0.012348238378763199,-0.00010710481728892773,-0.0024170572869479656,-0.003933914937078953,-3.8658881187438965,0.055386051535606384,0.5998793840408325,15.906559944152832,0.009999999776482582,-0.006658476777374744,20.584566116333008,0.7444977760314941,0.10440754890441895,115800.0,0.49856245517730713,204.97999572753906,81.30999755859375,-113.47941589355469,-43.70750427246094
9,-0.9458274245262146,-0.04997696727514267,-0.07480001449584961,0.11424992978572845,-0.05899669975042343,-3.1413917440659134e-06,-0.00713072856888175,-0.03198215365409851,-0.010349239222705364,-1.381551742553711,-0.013246721588075161,0.2082781046628952,-0.007687970530241728,0.07871566712856293,-0.023834532126784325,-0.6024734973907471,-0.005291028879582882,-0.0021743883844465017,0.032189249992370605,-0.014846034348011017,-0.00011948385508731008,-0.002815350890159607,-0.00441167363896966,-4.321572303771973,0.05885149538516998,0.6556390523910522,15.902408599853516,0.009999999776482582,-0.006840282119810581,20.1712703704834,0.7395741939544678,0.10447287559509277,116467.0,0.4985879957675934,228.99000549316406,133.22999572753906,-127.62228393554688,-72.52465057373047
