step,Episode/rew_acceleration,Episode/rew_action_rate,Episode/rew_action_smoothness2,Episode/rew_alive,Episode/rew_ang_vel_xy,Episode/rew_base_height,Episode/rew_contact_duty_balance,Episode/rew_contact_no_vel,Episode/rew_dof_pos_error,Episode/rew_dof_vel,Episode/rew_drift,Episode/rew_feet_air_time,Episode/rew_feet_clearance,Episode/rew_feet_orientation,Episode/rew_gait_contact,Episode/rew_gait_swing,Episode/rew_heading_drift,Episode/rew_hip_pos,Episode/rew_joint_torques,Episode/rew_knee_swing_flexion,Episode/rew_leg_load_balance,Episode/rew_lin_vel_z,Episode/rew_orientation,Episode/rew_similar_to_default,Episode/rew_torque_limits,Episode/rew_tracking_ang_vel,Episode/rew_tracking_lin_vel,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_episode_length/time,Train/mean_reward,Train/mean_reward/time
0,-0.045662473887205124,-0.002671673661097884,-0.0038746106438338757,0.006229167338460684,-0.0024797231890261173,-7.85699683092389e-08,-6.675544136669487e-05,-0.0002754508750513196,-0.0014756222954019904,-0.0004476632457226515,-0.056814223527908325,-0.0008700552280060947,0.009918345138430595,-0.00029553548665717244,0.004225578159093857,-0.0013178952503949404,-0.001983980182558298,-0.00024018363910727203,-0.00010517342889215797,0.001066553290002048,-8.88726208359003e-05,-5.209043138165725e-06,-0.00011039890523534268,-0.0002018186787609011,-0.20658397674560547,0.004036778584122658,0.03745702654123306,15.935478210449219,0.001500000013038516,-0.007418219465762377,20.08246421813965,8.783658981323242,0.3120238780975342,10807.0,0.4993102550506592,14.109999656677246,,-6.014857769012451,
1,-0.14070165157318115,-0.0076897032558918,-0.01138399075716734,0.017624996602535248,-0.007843036204576492,-3.929578156203206e-07,-0.0003371250058989972,-0.0009586382657289505,-0.00476010050624609,-0.0015099055599421263,-0.2074788212776184,-0.002264222130179405,0.030922820791602135,-0.0011598789133131504,0.012217002920806408,-0.003656388260424137,-0.022653473541140556,-0.0008294943254441023,-0.00032430884311906993,0.005526247899979353,-0.0005194367258809507,-1.8096883650287054e-05,-0.00039257307071238756,-0.0006549376994371414,-0.6443602442741394,0.009232793003320694,0.1066204309463501,15.934815406799316,0.005062500014901161,-0.006515493616461754,23.304861068725586,0.741340160369873,0.10506367683410645,116143.0,0.49916672706604004,36.0099983215332,,-17.87761116027832,
2,-0.24441753327846527,-0.013340122997760773,-0.01997506618499756,0.030249986797571182,-0.014873097650706768,-6.116679287515581e-07,-0.0008755802409723401,-0.0017492970218881965,-0.008347827009856701,-0.0026352673303335905,-0.3651755750179291,-0.0038466171827167273,0.05355840176343918,-0.002039529848843813,0.020779535174369812,-0.006327907554805279,-0.07351087778806686,-0.0014652538811787963,-0.0005635371780954301,0.009759612381458282,-0.0013486992102116346,-3.0093753593973815e-05,-0.000707387225702405,-0.0011464105919003487,-1.1211971044540405,0.015435773879289627,0.1661839783191681,15.91632080078125,0.007593750022351742,-0.006898961495608091,23.656394958496094,0.7346963882446289,0.10730528831481934,116750.0,0.49919962882995605,59.25,,-31.173179626464844,
3,-0.33234864473342896,-0.017968442291021347,-0.026866938918828964,0.04062497615814209,-0.01959976553916931,-9.09639766177861e-07,-0.001614545239135623,-0.0023704529739916325,-0.011362644843757153,-0.0035745310597121716,-0.4875774383544922,-0.005031864624470472,0.07290729135274887,-0.0027390564791858196,0.028126876801252365,-0.008436983451247215,-0.13129600882530212,-0.001978358719497919,-0.0007666388992220163,0.012847471982240677,-0.0021033810917288065,-4.324926339904778e-05,-0.0009271103190258145,-0.0015450960490852594,-1.5266684293746948,0.021112611517310143,0.23132549226284027,15.926968574523926,0.009999999776482582,-0.006423598155379295,24.016387939453125,0.7366335391998291,0.10413455963134766,116921.0,0.4990898668766022,87.18000030517578,,-46.86137008666992,
4,-0.4452304244041443,-0.023567896336317062,-0.03520834445953369,0.05424996465444565,-0.02668599784374237,-1.171278313449875e-06,-0.0019653383642435074,-0.0030769575387239456,-0.015005450695753098,-0.004825932905077934,-0.6844881772994995,-0.00646597146987915,0.09739494323730469,-0.0035393312573432922,0.03720959275960922,-0.011364012025296688,-0.23137687146663666,-0.002672523260116577,-0.0010255230590701103,0.016008824110031128,-0.0027828002348542213,-5.497498204931617e-05,-0.0012527091894298792,-0.0020829876884818077,-2.0385661125183105,0.02825777232646942,0.32032155990600586,15.931192398071289,0.009999999776482582,-0.006239471957087517,23.067256927490234,0.7333106994628906,0.10436391830444336,117353.0,0.4994449317455292,110.13999938964844,,-60.73579788208008,
5,-0.545987606048584,-0.02923382818698883,-0.04374052211642265,0.06624995917081833,-0.03228640556335449,-1.399277607561089e-06,-0.003677224274724722,-0.003941986244171858,-0.018681909888982773,-0.005942573770880699,-0.7678805589675903,-0.007827582769095898,0.1192021369934082,-0.004292105324566364,0.04568202421069145,-0.01381056010723114,-0.2906613349914551,-0.003276844508945942,-0.00126359099522233,0.01975216716527939,-0.0034190434962511063,-6.847947952337563e-05,-0.0015129698440432549,-0.002557816682383418,-2.5169780254364014,0.03540445864200592,0.3902359902858734,15.933706283569336,0.009999999776482582,-0.007050823885947466,22.874467849731445,0.7382993698120117,0.10545635223388672,116507.0,0.499184250831604,134.0800018310547,,-73.74073028564453,
6,-0.6154817342758179,-0.03289065510034561,-0.049361538141965866,0.07477077841758728,-0.03692992776632309,-1.7394188489561202e-06,-0.003954736515879631,-0.004443180747330189,-0.020894814282655716,-0.006699366495013237,-0.8960315585136414,-0.00887349247932434,0.13516008853912354,-0.004904313012957573,0.05171739310026169,-0.01554239820688963,-0.40061554312705994,-0.0037115502636879683,-0.0014215295668691397,0.022465184330940247,-0.004541010595858097,-7.874682341935113e-05,-0.0017690286040306091,-0.002891589654609561,-2.829724073410034,0.039472296833992004,0.4344399571418762,15.937392234802246,0.009999999776482582,-0.006587204989045858,22.080339431762695,0.7351279258728027,0.1045846939086914,117068.0,0.4992998540401459,156.36000061035156,,-86.95206451416016,
7,-0.7469751834869385,-0.04005102813243866,-0.060087814927101135,0.0902499407529831,-0.045761268585920334,-2.1082942112116143e-06,-0.004440047778189182,-0.005236928816884756,-0.025565635412931442,-0.008158518932759762,-1.0282068252563477,-0.010731441900134087,0.16373568773269653,-0.005939708556979895,0.06197589263319969,-0.018884476274251938,-0.48598289489746094,-0.004452513065189123,-0.001727485447190702,0.0271997582167387,-0.005955425091087818,-9.746388241183013e-05,-0.002131011337041855,-0.003500828519463539,-3.4441306591033936,0.04767002910375595,0.5588721036911011,15.914650917053223,0.009999999776482582,-0.006843910552561283,21.52799415588379,0.7377042770385742,0.10501837730407715,116650.0,0.4989968538284302,179.97999572753906,,-99.49674987792969,
8,-0.8435472249984741,-0.04541793465614319,-0.06817932426929474,0.10224992036819458,-0.051371391862630844,-2.4575965653639287e-06,-0.005301653407514095,-0.006008063908666372,-0.029020734131336212,-0.009197300300002098,-1.2051916122436523,-0.01204722374677658,0.18538424372673035,-0.007043055258691311,0.0707005113363266,-0.02126096934080124,-0.5242189764976501,-0.005020628217607737,-0.0019508760888129473,0.031221147626638412,-0.006501576863229275,-0.00010866211960092187,-0.0023576696403324604,-0.003965110518038273,-3.880584239959717,0.053158920258283615,0.5993815660476685,15.913898468017578,0.009999999776482582,-0.006485988385975361,20.330810546875,0.7357943058013916,0.10392475128173828,117067.0,0.4987671673297882,200.4199981689453,,-111.63043975830078,
9,-0.9049915075302124,-0.04827557131648064,-0.07232903689146042,0.1096874326467514,-0.05333692952990532,-2.404249244136736e-06,-0.0080529460683465,-0.006393348798155785,-0.030784493312239647,-0.009806979447603226,-1.2962416410446167,-0.013362012803554535,0.1983259618282318,-0.007608493324369192,0.07596227526664734,-0.022774364799261093,-0.6027081608772278,-0.005434100981801748,-0.002093035727739334,0.03342266008257866,-0.006747819483280182,-0.0001127409195760265,-0.0025002274196594954,-0.004247657489031553,-4.167011260986328,0.05928317829966545,0.6364003419876099,15.911347389221191,0.009999999776482582,-0.006081338971853256,19.965604782104492,0.7331616878509521,0.1046895980834961,117328.0,0.4988980293273926,226.4600067138672,36.0099983215332,-127.03071594238281,-17.87761116027832
