step,Episode/rew_acceleration,Episode/rew_action_rate,Episode/rew_action_smoothness2,Episode/rew_alive,Episode/rew_ang_vel_xy,Episode/rew_base_height,Episode/rew_contact_duty_balance,Episode/rew_contact_no_vel,Episode/rew_dof_pos_error,Episode/rew_dof_vel,Episode/rew_drift,Episode/rew_feet_air_time,Episode/rew_feet_clearance,Episode/rew_feet_orientation,Episode/rew_gait_contact,Episode/rew_gait_swing,Episode/rew_heading_drift,Episode/rew_hip_pos,Episode/rew_joint_torques,Episode/rew_knee_swing_flexion,Episode/rew_leg_load_balance,Episode/rew_lin_vel_z,Episode/rew_orientation,Episode/rew_similar_to_default,Episode/rew_torque_limits,Episode/rew_tracking_ang_vel,Episode/rew_tracking_lin_vel,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_episode_length/time,Train/mean_reward,Train/mean_reward/time
0,-0.04276534914970398,-0.002539129462093115,-0.0036409362219274044,0.0058750007301568985,-0.0022868760861456394,-9.584981341959065e-08,-5.290937770041637e-05,-0.0003364213043823838,-0.0014304266078397632,-0.00042917742393910885,-0.06178883835673332,-0.0008896001381799579,0.009466282092034817,-0.00027034556842409074,0.003961729817092419,-0.0012495198752731085,-0.0026700440794229507,-0.00020584538287948817,-9.816811507334933e-05,0.0008786454563960433,-7.691877544857562e-05,-5.314045665727463e-06,-9.328673331765458e-05,-0.00018881743017118424,-0.19334650039672852,0.0033743041567504406,0.0388212688267231,15.955170631408691,0.001500000013038516,-0.006644351873546839,20.01271629333496,5.373447895050049,0.24218034744262695,17505.0,0.4996015429496765,14.710000038146973,,-6.5017266273498535,
1,-0.14550423622131348,-0.007972752675414085,-0.011759254150092602,0.0182499960064888,-0.0083701740950346,-4.2070686845363525e-07,-0.0003082827606704086,-0.001069578342139721,-0.004923178814351559,-0.001553978188894689,-0.21522554755210876,-0.0024186070077121258,0.031847815960645676,-0.0011396183399483562,0.012516136281192303,-0.0038232957012951374,-0.02724037691950798,-0.0008220656309276819,-0.0003350366314407438,0.003947984427213669,-0.0005183269968256354,-1.802448241505772e-05,-0.00036410102620720863,-0.0006735633942298591,-0.6656317710876465,0.009800735861063004,0.11145590990781784,15.92703628540039,0.005062500014901161,-0.006463516503572464,22.988723754882812,0.7426235675811768,0.09882307052612305,116827.0,0.4985632598400116,35.29999923706055,,-17.492473602294922,
2,-0.24651113152503967,-0.013251325115561485,-0.019688621163368225,0.030249986797571182,-0.014862041920423508,-7.79680135565286e-07,-0.0005868748412467539,-0.0018726445268839598,-0.008357296697795391,-0.002646499779075384,-0.37068694829940796,-0.0038435994647443295,0.05403821915388107,-0.0019432967528700829,0.0207059346139431,-0.006348352413624525,-0.08802400529384613,-0.0013221537228673697,-0.0005657248548232019,0.0070515102706849575,-0.0013608112931251526,-3.1503393984166905e-05,-0.0006649545393884182,-0.0011246174108237028,-1.1235578060150146,0.016086626797914505,0.17176489531993866,15.89118480682373,0.007593750022351742,-0.006274607963860035,23.951337814331055,0.7495312690734863,0.09835124015808105,115940.0,0.49815183877944946,59.869998931884766,,-31.630008697509766,
3,-0.3312973976135254,-0.0176924429833889,-0.02637038752436638,0.04033331200480461,-0.01954737678170204,-1.062068122337223e-06,-0.001254236325621605,-0.002472307300195098,-0.011200672946870327,-0.003569193882867694,-0.4870145320892334,-0.00493792537599802,0.07280341535806656,-0.0026777610182762146,0.028071437031030655,-0.008335717022418976,-0.12126791477203369,-0.0018246481195092201,-0.0007574665360152721,0.010363672859966755,-0.0015527766663581133,-4.148727748543024e-05,-0.0009295728523284197,-0.0015338732628151774,-1.5076491832733154,0.021185025572776794,0.24073141813278198,15.884591102600098,0.009999999776482582,-0.005902781151235104,23.914731979370117,0.7493796348571777,0.09718060493469238,116121.0,0.4983222484588623,81.30999755859375,,-43.74551773071289,
4,-0.42788204550743103,-0.02270481549203396,-0.0338602140545845,0.05181246995925903,-0.026789840310811996,-1.453025561204413e-06,-0.0018731727031990886,-0.0031081680208444595,-0.014507489278912544,-0.0046740127727389336,-0.6112119555473328,-0.006283716764301062,0.09361323714256287,-0.003348821308463812,0.03540053218603134,-0.01089152880012989,-0.19945316016674042,-0.0024321710225194693,-0.0009780897526070476,0.013206882402300835,-0.0028888233937323093,-5.4858563089510426e-05,-0.001249211374670267,-0.0019760222639888525,-1.9445807933807373,0.027829496189951897,0.31143641471862793,15.883991241455078,0.009999999776482582,-0.006941378116607666,22.879650115966797,0.7509276866912842,0.09864425659179688,115710.0,0.4982217848300934,107.68000030517578,,-58.198734283447266,
5,-0.5481588840484619,-0.028967272490262985,-0.043259285390377045,0.06624995917081833,-0.033836714923381805,-1.782414528861409e-06,-0.002457068767398596,-0.004096447490155697,-0.018535135313868523,-0.005950703751295805,-0.7638241648674011,-0.008068188093602657,0.12024383246898651,-0.00429835170507431,0.04515932500362396,-0.013955752365291119,-0.25454914569854736,-0.00304099777713418,-0.0012545371428132057,0.018375162035226822,-0.0034027646761387587,-6.89337684889324e-05,-0.0015475943218916655,-0.002516551874577999,-2.492669105529785,0.03532564640045166,0.3892998695373535,15.869458198547363,0.009999999776482582,-0.00694644870236516,22.719341278076172,0.7484679222106934,0.09903335571289062,115992.0,0.49814894795417786,133.22999572753906,14.710000038146973,-71.71595001220703,-6.5017266273498535
6,-0.6487717628479004,-0.03430534899234772,-0.051227182149887085,0.07824994623661041,-0.03942704200744629,-2.1362816369219217e-06,-0.004279560409486294,-0.00489248288795352,-0.02206019125878811,-0.007113139145076275,-0.9323781728744507,-0.009283235296607018,0.1425318717956543,-0.0051695797592401505,0.05364225059747696,-0.016399381682276726,-0.33497756719589233,-0.0036439853720366955,-0.0014910747995600104,0.020782094448804855,-0.004429047927260399,-8.510419866070151e-05,-0.001860056072473526,-0.003011000109836459,-2.9689807891845703,0.04123184084892273,0.4457497000694275,15.89801025390625,0.009999999776482582,-0.0066682142205536366,22.398624420166016,0.7450621128082275,0.09883880615234375,116487.0,0.4979241192340851,154.1999969482422,35.29999923706055,-85.28988647460938,-17.492473602294922
7,-0.7466034889221191,-0.039534710347652435,-0.05912336707115173,0.0902499407529831,-0.04612983390688896,-2.447846327413572e-06,-0.005475550424307585,-0.005527356639504433,-0.025360113009810448,-0.008160270750522614,-1.089150309562683,-0.010781417600810528,0.16475453972816467,-0.0061739422380924225,0.0626027062535286,-0.018710359930992126,-0.45115479826927185,-0.004195440094918013,-0.0017181441653519869,0.024480819702148438,-0.004977118223905563,-9.323765698354691e-05,-0.002128982450813055,-0.0034735421650111675,-3.4185807704925537,0.04669147729873657,0.5352144241333008,15.888914108276367,0.009999999776482582,-0.006871706806123257,21.538267135620117,0.7462310791015625,0.09888815879821777,116319.0,0.49849656224250793,181.22999572753906,59.869998931884766,-102.00760650634766,-31.630008697509766
8,-0.8475979566574097,-0.04477404057979584,-0.06700321286916733,0.10224992036819458,-0.052220411598682404,-3.0379474083019886e-06,-0.00622937735170126,-0.006355642341077328,-0.028726842254400253,-0.009262221865355968,-1.1869961023330688,-0.012291459366679192,0.18660315871238708,-0.0071497028693556786,0.07045093178749084,-0.021330293267965317,-0.5352417230606079,-0.0047211237251758575,-0.0019459526520222425,0.02687637135386467,-0.006368955597281456,-0.00010727476183092222,-0.002488412894308567,-0.003940991126000881,-3.8688011169433594,0.05577826499938965,0.5995815992355347,15.890228271484375,0.009999999776482582,-0.0063650524243712425,20.086624145507812,0.7496352195739746,0.09896254539489746,115842.0,0.49829137325286865,204.97999572753906,81.30999755859375,-113.71585845947266,-43.74551773071289
9,-0.9455479979515076,-0.04995567724108696,-0.07477208971977234,0.11424992978572845,-0.05896517261862755,-3.14840508508496e-06,-0.007891559973359108,-0.007182955741882324,-0.03198205679655075,-0.010348773561418056,-1.4063462018966675,-0.01345689408481121,0.2080683708190918,-0.007704402785748243,0.07832323014736176,-0.023943543434143066,-0.6154173612594604,-0.005299548618495464,-0.002173560205847025,0.03199298679828644,-0.007412610575556755,-0.00011690871906466782,-0.00280037522315979,-0.004411512985825539,-4.317010402679443,0.05866977572441101,0.6557392477989197,15.874360084533691,0.009999999776482582,-0.006851324811577797,20.31673240661621,0.746467113494873,0.09886884689331055,116289.0,0.49828410148620605,228.99000549316406,133.22999572753906,-127.70065307617188,-71.71595001220703
