step,Episode/rew_acceleration,Episode/rew_action_rate,Episode/rew_alive,Episode/rew_ang_vel_xy,Episode/rew_base_height,Episode/rew_contact_no_vel,Episode/rew_dof_vel,Episode/rew_feet_clearance,Episode/rew_gait_contact,Episode/rew_gait_swing,Episode/rew_hip_pos,Episode/rew_joint_torques,Episode/rew_lin_vel_z,Episode/rew_orientation,Episode/rew_similar_to_default,Episode/rew_tracking_ang_vel,Episode/rew_tracking_lin_vel,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_episode_length/time,Train/mean_reward,Train/mean_reward/time
0,-0.022554470226168633,-0.002586941234767437,0.006125000771135092,-0.002318004611879587,-8.240705824391625e-07,-8.05118033895269e-05,-0.0004486518446356058,0.000693414593115449,0.004341750405728817,-0.0012439584825187922,-0.00011559294944163412,-0.00010188124724663794,-6.227816811588127e-06,-8.9298453531228e-05,-0.00019570213044062257,0.005420750938355923,0.03236280754208565,15.968680381774902,0.001500000013038516,-0.006384129635989666,0.038088325411081314,3.331352949142456,0.2547736167907715,27412.0,0.5000296235084534,12.494253158569336,,0.38284778594970703,
1,-0.0670483261346817,-0.007320466451346874,0.01679166406393051,-0.008137451484799385,-3.077706878684694e-06,-0.00022506188543047756,-0.0014401547377929091,0.0020672082901000977,0.011413431726396084,-0.003546269377693534,-0.000364622421329841,-0.0003086971992161125,-1.7398822819814086e-05,-0.00037353113293647766,-0.0006112899864092469,0.012730295769870281,0.09060937166213989,15.970026016235352,0.003375000087544322,-0.006371490657329559,0.03280259296298027,0.6067960262298584,0.10436415672302246,138230.0,0.49989238381385803,34.95000076293945,,0.929783046245575,
2,-0.1174764558672905,-0.01266542449593544,0.028770819306373596,-0.014929214492440224,-5.5618911574129015e-06,-0.0003787184541579336,-0.0025368279311805964,0.0036005552392452955,0.019786274060606956,-0.0060121468268334866,-0.0006664962274953723,-0.0005359190981835127,-3.018519601027947e-05,-0.0006402329890988767,-0.0010618637315928936,0.02259685844182968,0.15138474106788635,15.962571144104004,0.005062500014901161,-0.006852253805845976,0.031376779079437256,0.6099598407745361,0.10378336906433105,137730.0,0.4998617470264435,56.279998779296875,,1.4015815258026123,
3,-0.1737871617078781,-0.018563054502010345,0.042249977588653564,-0.02202630043029785,-8.203685865737498e-06,-0.000546043214853853,-0.003781114239245653,0.005326408892869949,0.029211997985839844,-0.008785560727119446,-0.0009703253163024783,-0.0007939377683214843,-4.426075247465633e-05,-0.0009632754954509437,-0.0015861045103520155,0.032432280480861664,0.24032139778137207,15.952305793762207,0.007593750022351742,-0.006557632237672806,0.02947954088449478,0.6133894920349121,0.10410857200622559,137009.0,0.49966755509376526,85.41000366210938,12.494253158569336,2.2707555294036865,0.38284778594970703
4,-0.22395670413970947,-0.02387460134923458,0.05424996837973595,-0.02834920957684517,-1.1021096725016832e-05,-0.0007133464096114039,-0.00489906407892704,0.006900901906192303,0.03741270303726196,-0.011307592503726482,-0.0012521396856755018,-0.0010259831324219704,-5.738800609833561e-05,-0.001304126693867147,-0.002059459686279297,0.040693365037441254,0.2829943895339966,15.9400634765625,0.009999999776482582,-0.007009200751781464,0.03809310495853424,0.6108081340789795,0.10512709617614746,137308.0,0.4994940459728241,108.3499984741211,34.95000076293945,2.7045578956604004,0.929783046245575
5,-0.27441680431365967,-0.02922038733959198,0.06624995917081833,-0.03436538204550743,-1.338299443887081e-05,-0.0009028776548802853,-0.00601780042052269,0.008432958275079727,0.046339623630046844,-0.013627893291413784,-0.0015714934561401606,-0.0012557653244584799,-7.039742195047438e-05,-0.00150458631105721,-0.0025167656131088734,0.047935258597135544,0.35323619842529297,15.944559097290039,0.009999999776482582,-0.007247484289109707,0.023342814296483994,0.6179254055023193,0.1023094654083252,136488.0,0.4997977316379547,131.3300018310547,85.41000366210938,3.1438252925872803,2.2707555294036865
6,-0.3254948854446411,-0.03456508368253708,0.07824994623661041,-0.0402379147708416,-1.5685394828324206e-05,-0.0010143001563847065,-0.00715907197445631,0.009954525157809258,0.0544002428650856,-0.01618882827460766,-0.0018208259716629982,-0.0014888811856508255,-8.146533218678087e-05,-0.0017433380708098412,-0.002988297026604414,0.057408981025218964,0.4315822720527649,15.973295211791992,0.009999999776482582,-0.006672007963061333,0.028722457587718964,0.6424596309661865,0.09872293472290039,132631.0,0.5000951886177063,157.94000244140625,108.3499984741211,3.9655847549438477,2.7045578956604004
7,-0.3754104971885681,-0.0398423969745636,0.0902499407529831,-0.04534747451543808,-1.887481994344853e-05,-0.001188703696243465,-0.008267628028988838,0.011501600965857506,0.06320630013942719,-0.0185426976531744,-0.002127690240740776,-0.0017163925804197788,-9.528749797027558e-05,-0.00207247631624341,-0.003452683798968792,0.0651976615190506,0.48166197538375854,15.975857734680176,0.009999999776482582,-0.006581661757081747,0.02929704636335373,0.6283719539642334,0.09740376472473145,135446.0,0.5001351237297058,180.33999633789062,157.94000244140625,4.596628189086914,3.9655847549438477
8,-0.40613505244255066,-0.04311295598745346,0.09779159724712372,-0.049064524471759796,-2.032271004281938e-05,-0.0013007044326514006,-0.008942680433392525,0.012495315633714199,0.06885477155447006,-0.019990338012576103,-0.0022718668915331364,-0.0018620913615450263,-0.00010358802683185786,-0.002163785509765148,-0.0037311750929802656,0.07320164889097214,0.5320360064506531,15.991998672485352,0.009999999776482582,-0.006515551824122667,0.027726901695132256,0.6107561588287354,0.09869551658630371,138563.0,0.5003517270088196,201.9600067138672,180.33999633789062,5.275101184844971,4.596628189086914
9,-0.4766417443752289,-0.05045712739229202,0.11424992978572845,-0.057950958609580994,-2.4190469048335217e-05,-0.0015412544598802924,-0.010524623095989227,0.01458920817822218,0.08036670088768005,-0.023375913500785828,-0.0027153082191944122,-0.0021821120753884315,-0.00012418095138855278,-0.002556679304689169,-0.004392867907881737,0.08367514610290527,0.6227783560752869,16.018108367919922,0.009999999776482582,-0.006227855104953051,0.03466998413205147,0.6226720809936523,0.1038353443145752,135310.0,0.5009579658508301,229.50999450683594,201.9600067138672,5.36016321182251,5.275101184844971
