step,Episode/rew_acceleration,Episode/rew_action_rate,Episode/rew_alive,Episode/rew_ang_vel_xy,Episode/rew_base_height,Episode/rew_contact_no_vel,Episode/rew_dof_vel,Episode/rew_feet_clearance,Episode/rew_feet_orientation,Episode/rew_gait_contact,Episode/rew_gait_swing,Episode/rew_hip_pos,Episode/rew_joint_torques,Episode/rew_lin_vel_z,Episode/rew_orientation,Episode/rew_similar_to_default,Episode/rew_tracking_ang_vel,Episode/rew_tracking_lin_vel,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_episode_length/time,Train/mean_reward,Train/mean_reward/time
0,-0.022027885541319847,-0.0026205757167190313,0.006125000771135092,-0.002529044635593891,-3.739633882560156e-07,-7.41535477573052e-05,-0.0004516181070357561,0.0006698201177641749,-0.00013052466965746135,0.004074053838849068,-0.0013183185365051031,-0.00022006069775670767,-0.00010301219299435616,-5.938609319855459e-06,-0.00010386637586634606,-0.00019634787167888135,0.004550167825073004,0.03188873827457428,15.958955764770508,0.001500000013038516,-0.006325506139546633,0.03401099517941475,5.335946083068848,0.24770188331604004,17605.0,0.4998945891857147,12.494253158569336,,0.34559741616249084,
1,-0.06650005280971527,-0.007487913593649864,0.01679166406393051,-0.0076552643440663815,-1.4994957382441498e-06,-0.00021080533042550087,-0.001426390721462667,0.0020127072930336,-0.0004648731555789709,0.011691681109368801,-0.0034689779859036207,-0.0007162547553889453,-0.00031265075085684657,-1.7263773770537227e-05,-0.00032553295022808015,-0.0006074775010347366,0.012321732938289642,0.08804889768362045,15.96841049194336,0.003375000087544322,-0.006642012856900692,0.029295485466718674,0.6943366527557373,0.10024666786193848,123717.0,0.5000221729278564,34.95000076293945,,0.8856339454650879,
2,-0.11535215377807617,-0.012544123455882072,0.028770819306373596,-0.014191987924277782,-2.7810563096863916e-06,-0.00035475881304591894,-0.00248447572812438,0.0034880368039011955,-0.0008306406671181321,0.019887559115886688,-0.00598401203751564,-0.0013207797892391682,-0.0005409843288362026,-3.047882637474686e-05,-0.0006114852149039507,-0.0010648863390088081,0.020392609760165215,0.1489008069038391,15.95618724822998,0.005062500014901161,-0.007146142888814211,0.025751808658242226,0.6981635093688965,0.0982198715209961,123438.0,0.4994576871395111,56.279998779296875,,1.3284320831298828,
3,-0.17070309817790985,-0.01864258572459221,0.042249977588653564,-0.021724319085478783,-4.161143806413747e-06,-0.0005348582053557038,-0.0036924153100699186,0.005148577503859997,-0.0012686344562098384,0.02930906042456627,-0.008758599869906902,-0.0019415023270994425,-0.0008039662498049438,-4.4320062443148345e-05,-0.0009517171420156956,-0.0015763526316732168,0.0304831862449646,0.23360511660575867,15.953290939331055,0.007593750022351742,-0.006382335443049669,0.0211996678262949,0.710139274597168,0.10485124588012695,120619.0,0.4995005130767822,85.41000366210938,,2.0834689140319824,
4,-0.2197423279285431,-0.02385326847434044,0.05424996837973595,-0.027003174647688866,-5.176923423277913e-06,-0.000698818068485707,-0.004771578591316938,0.006627197377383709,-0.0015698203351348639,0.03729197010397911,-0.011341128498315811,-0.0024556401185691357,-0.001037662266753614,-5.7832745369523764e-05,-0.0011938730021938682,-0.002034344244748354,0.03561343997716904,0.2722759544849396,15.953178405761719,0.009999999776482582,-0.0055743115954101086,0.03400876745581627,0.7081634998321533,0.10561919212341309,120798.0,0.4998812973499298,108.3499984741211,,2.4652111530303955,
5,-0.2688983082771301,-0.029040908440947533,0.06624995917081833,-0.03206134960055351,-6.273566214076709e-06,-0.0008531183702871203,-0.005820901598781347,0.008139289915561676,-0.001986260060220957,0.046305179595947266,-0.013637460768222809,-0.0030841059051454067,-0.0012685158289968967,-6.968528032302856e-05,-0.001411603530868888,-0.002488335594534874,0.044749148190021515,0.34156450629234314,16.0025634765625,0.009999999776482582,-0.006467502098530531,0.024822548031806946,0.707495927810669,0.1055288314819336,120911.0,0.5005428791046143,131.3300018310547,12.494253158569336,2.9427857398986816,0.34559741616249084
6,-0.3194456994533539,-0.0344465970993042,0.07824994623661041,-0.03883136063814163,-8.046695256780367e-06,-0.0009739443194121122,-0.0069601344875991344,0.009625039994716644,-0.002353150397539139,0.0542026087641716,-0.016243726015090942,-0.003615301102399826,-0.0015059977304190397,-8.505395817337558e-05,-0.0017341835191473365,-0.0029512231703847647,0.053379595279693604,0.4157489240169525,16.00132942199707,0.009999999776482582,-0.007216392084956169,0.03678552433848381,0.7103064060211182,0.10467791557312012,120620.0,0.5006467700004578,157.94000244140625,34.95000076293945,3.677572727203369,0.8856339454650879
7,-0.3699858784675598,-0.03965777903795242,0.0902499407529831,-0.04500589892268181,-9.157557542494033e-06,-0.0011505975853651762,-0.008078768849372864,0.011099684983491898,-0.0027107764035463333,0.06298878788948059,-0.018603119999170303,-0.004178078379482031,-0.0017413662280887365,-9.75215807557106e-05,-0.002063324674963951,-0.003422811394557357,0.0596328005194664,0.4623437821865082,16.00426483154297,0.009999999776482582,-0.006711227353662252,0.02711549960076809,0.7098674774169922,0.10292267799377441,120946.0,0.5008794665336609,180.33999633789062,85.41000366210938,4.189782619476318,2.0834689140319824
8,-0.39983266592025757,-0.04311642795801163,0.09779159724712372,-0.04732006788253784,-9.750154276844114e-06,-0.0012191085843369365,-0.008684510365128517,0.01199393905699253,-0.0028738449327647686,0.06850158423185349,-0.020088447257876396,-0.004525389987975359,-0.0018852174980565906,-0.00010659363761078566,-0.0020912131294608116,-0.003694894490763545,0.06833217293024063,0.5069628953933716,16.01525115966797,0.009999999776482582,-0.006109023001044989,0.030500875785946846,0.7036616802215576,0.09991955757141113,122332.0,0.5005637407302856,201.9600067138672,108.3499984741211,4.612087726593018,2.4652111530303955
9,-0.46759843826293945,-0.05053991079330444,0.11424992978572845,-0.05686129629611969,-1.1686612197081558e-05,-0.0014101965352892876,-0.010204060934484005,0.014053640887141228,-0.0033545885235071182,0.08021862804889679,-0.023417046293616295,-0.0052921362221241,-0.00220579095184803,-0.00012219947529956698,-0.0025596916675567627,-0.004341006278991699,0.07748278975486755,0.6148704290390015,15.979777336120605,0.009999999776482582,-0.007606235798448324,0.027787435799837112,0.7063324451446533,0.09963059425354004,121970.0,0.5006988048553467,229.50999450683594,131.3300018310547,5.444615364074707,2.9427857398986816
10,-0.5161945223808289,-0.05600979924201965,0.12624990940093994,-0.06124071776866913,-1.2900759429612663e-05,-0.0015950549859553576,-0.011238190345466137,0.015532374382019043,-0.003838300472125411,0.08946765959262848,-0.025647861883044243,-0.005855291150510311,-0.0024450025521218777,-0.00013591167225968093,-0.0027873560320585966,-0.004800364375114441,0.0869583785533905,0.6942836046218872,16.012693405151367,0.009999999776482582,-0.005739729385823011,0.029442397877573967,0.7106156349182129,0.10512638092041016,120508.0,0.5012313723564148,251.52999877929688,157.94000244140625,6.255292892456055,3.677572727203369
11,-0.5667247772216797,-0.06148434802889824,0.13824990391731262,-0.06644406914710999,-1.3862278137821704e-05,-0.0017388392006978393,-0.012333206832408905,0.017047494649887085,-0.004189159721136093,0.09757482260465622,-0.028195863589644432,-0.006457260809838772,-0.002678411779925227,-0.00014615245163440704,-0.0030491992365568876,-0.005269084125757217,0.09440116584300995,0.7579096555709839,15.998507499694824,0.009999999776482582,-0.006342562846839428,0.03137064725160599,0.7030801773071289,0.10715317726135254,121328.0,0.5011017918586731,277.42999267578125,180.33999633789062,6.6986589431762695,4.189782619476318
12,-0.615024209022522,-0.0664573609828949,0.1502498835325241,-0.07150667905807495,-1.5340130630647764e-05,-0.0018462352454662323,-0.013398544862866402,0.018509717658162117,-0.0044802771881222725,0.10626967251300812,-0.030580610036849976,-0.006849071942269802,-0.0029037310741841793,-0.00016083999071270227,-0.003145960858091712,-0.005708605051040649,0.10261508077383041,0.8414970636367798,16.010652542114258,0.009999999776482582,-0.0063996510580182076,0.034502409398555756,0.7087292671203613,0.09937548637390137,121647.0,0.5010358691215515,298.8599853515625,229.50999450683594,7.4496588706970215,5.444615364074707
13,-0.6370665431022644,-0.06892495602369308,0.1555623710155487,-0.075294628739357,-1.6263058569165878e-05,-0.0019250456243753433,-0.01390779297798872,0.019224537536501884,-0.004820713307708502,0.10933846235275269,-0.031853146851062775,-0.0071855406276881695,-0.0030143209733068943,-0.0001683833252172917,-0.0034223683178424835,-0.005929000675678253,0.10790356248617172,0.8236150741577148,16.045726776123047,0.009999999776482582,-0.005357785150408745,0.03548568859696388,0.7079720497131348,0.10493636131286621,120928.0,0.5017774105072021,323.2099914550781,251.52999877929688,7.3394670486450195,6.255292892456055
14,-0.6849181652069092,-0.07417234778404236,0.16677069664001465,-0.07887440919876099,-1.694602906354703e-05,-0.0021059662103652954,-0.014933861792087555,0.02053181827068329,-0.0050084651447832584,0.11912328004837036,-0.03361844643950462,-0.007690259721130133,-0.0032372460700571537,-0.00017707548977341503,-0.0035586110316216946,-0.006358634680509567,0.11450966447591782,0.9047498106956482,16.053722381591797,0.009999999776482582,-0.0051560914143919945,0.032703958451747894,0.7056939601898193,0.10473895072937012,121298.0,0.502647876739502,348.29998779296875,277.42999267578125,8.546438217163086,6.6986589431762695
15,-0.7646082639694214,-0.08276452869176865,0.18624985218048096,-0.0892212986946106,-1.9474447981338017e-05,-0.002294632140547037,-0.01666504330933094,0.022942867130041122,-0.0056150308810174465,0.13228070735931396,-0.03775523602962494,-0.008523685857653618,-0.0036186366342008114,-0.00020143789879512042,-0.004034748300909996,-0.007112655322998762,0.130067840218544,1.025192141532898,16.109973907470703,0.009999999776482582,-0.005251446273177862,0.03922925516963005,0.7071053981781006,0.1040804386138916,121185.0,0.5039364099502563,372.8599853515625,298.8599853515625,9.009675979614258,7.4496588706970215
16,-0.8136048316955566,-0.08840873092412949,0.19824986159801483,-0.09334778785705566,-1.9422393961576745e-05,-0.0024552089162170887,-0.017682529985904694,0.024436509236693382,-0.005990204866975546,0.14116641879081726,-0.04008696228265762,-0.009037809446454048,-0.003847637912258506,-0.00020721535838674754,-0.0041995118372142315,-0.007561057340353727,0.1374814212322235,1.0724127292633057,16.177831649780273,0.006666666828095913,-0.005796752404421568,0.03797442093491554,0.7083683013916016,0.1050570011138916,120851.0,0.5043445825576782,396.3900146484375,348.29998779296875,9.78967571258545,8.546438217163086
17,-0.8263987302780151,-0.08982361853122711,0.2015625685453415,-0.09470629692077637,-2.093558396154549e-05,-0.0025162578094750643,-0.018064159899950027,0.024906298145651817,-0.006154562346637249,0.1445070207118988,-0.0404839962720871,-0.009234926663339138,-0.00392768532037735,-0.00021133430709596723,-0.004393261857330799,-0.007706805132329464,0.13741672039031982,1.1020259857177734,16.1737117767334,0.004444444552063942,-0.007226253859698772,0.03763315826654434,0.6985595226287842,0.10499143600463867,122336.0,0.5050604939460754,421.4800109863281,372.8599853515625,10.719162940979004,9.009675979614258
18,-0.9124263525009155,-0.0994090586900711,0.22225037217140198,-0.10471569746732712,-2.2866906874696724e-05,-0.0027485189493745565,-0.019982723519206047,0.027342136949300766,-0.00680763553828001,0.15842954814434052,-0.044891588389873505,-0.010251488536596298,-0.004332547541707754,-0.00023503793636336923,-0.00479647284373641,-0.008518457412719727,0.15111736953258514,1.2239505052566528,16.218507766723633,0.006666666828095913,-0.006974021904170513,0.038740046322345734,0.7055678367614746,0.10522818565368652,121243.0,0.5059379935264587,443.92999267578125,396.3900146484375,11.073177337646484,9.78967571258545
19,-0.92109215259552,-0.10052948445081711,0.22445893287658691,-0.10677488893270493,-2.437091461615637e-05,-0.0027896706014871597,-0.02014254406094551,0.027739301323890686,-0.007006841711699963,0.16045062243938446,-0.045213501900434494,-0.010369304567575455,-0.004374901298433542,-0.00024382583796977997,-0.005067783873528242,-0.008617899380624294,0.15561488270759583,1.2178086042404175,16.266441345214844,0.004444444552063942,-0.00713433139026165,0.045090582221746445,0.7118887901306152,0.1048886775970459,120355.0,0.5071722269058228,467.1300048828125,421.4800109863281,11.574607849121094,10.719162940979004
20,-1.0116122961044312,-0.11020435392856598,0.24625089764595032,-0.11494650691747665,-2.4950099032139406e-05,-0.0030505943577736616,-0.02216671034693718,0.03034108877182007,-0.007496729493141174,0.17602747678756714,-0.04960322007536888,-0.011293292045593262,-0.0048039983958005905,-0.00026582038844935596,-0.005351926200091839,-0.009450344368815422,0.17379441857337952,1.282512903213501,16.290386199951172,0.004444444552063942,-0.008171883411705494,0.038928236812353134,0.7126600742340088,0.10496807098388672,120230.0,0.5071070194244385,489.5299987792969,467.1300048828125,11.059645652770996,11.574607849121094
